,Close,High,Low,Open,Volume
2025-01-10,110.2214813232422,111.72302825176806,109.71115453553132,111.65433027097008,5108700
2025-01-13,111.08512878417967,111.28140660265068,109.89763076113684,110.50609649090823,4409700
2025-01-14,110.91827392578124,111.69358396429428,110.20185321726235,111.44823297061996,3972400
2025-01-15,109.60616302490234,111.24384650384025,109.36939213972472,110.64204787862192,6543700
2025-01-16,112.37837982177734,112.41783536171997,109.52723158165446,109.52723158165446,5598700
2025-01-17,111.95416259765624,113.24654606028308,111.86536881470064,112.09227956953345,6459800
2025-01-21,115.21965789794922,115.32817945453726,112.60528794463742,112.71380950122548,8486300
2025-01-22,116.1963348388672,118.32729520036244,111.97388470791556,112.59541104994663,13200700
2025-01-23,121.56320190429688,121.57306955316892,116.19634499313636,116.54163743555058,13089400
2025-01-24,123.34886169433594,123.98025573551764,120.53718392863446,120.941667208074,9960200
2025-01-27,127.68968963623048,128.01525429489746,123.78294383946842,125.0260041100448,11845100
2025-01-28,125.67713165283205,128.10406146778467,124.96681146570548,128.00540003205316,11948500
2025-01-29,126.14080810546876,127.5614484211714,125.91389735017329,126.43677734684364,7609800
2025-01-30,127.07803344726562,127.45292882901738,125.47982059431752,126.2690593721111,6340400
2025-01-31,126.20987701416016,127.02871126620508,125.96323846825013,126.64395573673028,7129400
2025-02-03,126.7228775024414,127.21615457722991,124.3156904957049,124.9470845492893,5720600
2025-02-04,127.36414337158205,127.46278975176412,124.30581956713264,124.73990579007346,6957400
2025-02-05,130.28433227539062,130.71841848876284,127.21614841664162,127.68969017049272,8680100
2025-02-06,126.4959716796875,130.1264836502483,126.41704554289862,130.0278372694782,6469200
2025-02-07,127.33455657958984,127.74890753311966,126.3480023891982,126.3480023891982,6455200
2025-02-10,129.54441833496094,129.66280001151344,126.87086511534294,127.33454675333503,5503600
2025-02-11,129.6726837158203,130.2744823672456,128.71572495775678,129.4359052935208,5314100
2025-02-12,128.73545837402344,129.0412877565081,127.50226566811952,128.73545837402344,4703700
2025-02-13,130.01795959472656,130.26459812234307,128.79464213206617,129.16952245758094,4168400
2025-02-14,128.8538360595703,130.86639986958187,128.76504980036864,130.5408502525091,3733900
2025-02-18,128.4296112060547,129.06102030952363,126.525568934379,128.01526027211938,5116200
