,Close,High,Low,Open,Volume
2025-01-10,344.8663024902344,352.9607286528547,343.8310644232247,350.032533694868,2830000
2025-01-13,344.2254333496094,345.97050755964733,339.5225577944142,340.2718694743877,2711200
2025-01-14,344.0775756835937,347.5578858819774,340.76488578861535,346.26632796706514,1825400
2025-01-15,344.8071594238281,350.2001640951637,344.14657720458604,347.39027510072964,2624000
2025-01-16,347.09429931640625,349.7577079171074,343.56949652437726,345.65862218694247,2025800
2025-01-17,349.1042175292969,353.4706229683402,348.4309474040243,351.41119958048444,4064800
2025-01-21,352.8963623046875,353.3319845637799,344.55959108741536,345.7972332967811,3098600
2025-01-22,355.5597229003906,356.6092712404662,351.331948200663,354.698328799948,3155800
2025-01-23,359.6687316894531,359.7281360973806,354.114177821238,354.5498302899558,2111100
2025-01-24,358.8271484375,360.4014257647983,356.58948156449554,358.5598285873127,1827800
2025-01-27,369.4609375,370.1540292070923,355.3815188528445,355.767677716592,3855600
2025-01-28,374.649169921875,378.2432575830842,367.08468609455343,368.32232832683445,4052700
2025-01-29,370.7184143066406,378.12444603297314,369.4906526742884,376.11451627089696,2345600
2025-01-30,376.9858093261719,382.0947998887098,372.9956521327465,374.26299652079575,2218600
2025-01-31,381.1443176269531,383.1740388211804,375.8868157906302,376.9858275999081,3104400
2025-02-03,381.4017028808594,382.83737988100864,374.7976611982685,377.3719629489465,2792900
2025-02-04,387.7483520507813,388.5701634055988,376.7877853006809,377.7383162808946,3166600
2025-02-05,394.3128051757813,394.4118225950203,386.5602277249369,386.956267186019,3463400
2025-02-06,383.51068115234375,393.94648921407656,382.1047364571214,391.29299144392746,2828000
2025-02-07,382.16412353515625,386.6691290989215,381.5502276168831,385.1542562405948,2437400
2025-02-10,383.0651550292969,386.1443945437043,381.3819494282688,384.4017845300164,1771300
2025-02-11,386.154296875,386.49093194464126,380.0948051897067,381.193817015664,2121000
2025-02-12,384.9859313964844,387.6394593158592,382.1839226677652,382.23341627088,2251000
2025-02-13,385.6790161132813,387.0453779521706,380.92648209754594,384.7680981487303,3387300
2025-02-14,384.1641540527344,387.13449545004937,383.5997819354345,386.1443816509444,2024700
2025-02-18,383.7284851074219,386.6295111625771,377.7184873527871,380.82745905226665,3701100
2025-02-19,386.3621826171875,388.14437525262434,380.6393264414202,382.17399064327566,1438000
2025-02-20,381.0353698730469,386.1443604214509,380.45120638959617,384.0354133107632,2252400
2025-02-21,360.6588745117188,378.9858610154836,360.3321200259072,376.2432565755301,3751700
2025-02-24,360.3123168945313,363.302449695394,357.4904865189235,360.8073737949581,2755800
2025-02-25,359.36181640625,361.9657903233342,355.9459117041025,357.5102782157724,1947600
2025-02-26,354.8072814941406,359.42121536589883,353.3319914052167,359.11428250930305,2267500
2025-02-27,353.3419189453125,358.0449596546865,351.8567481949839,354.51024601709406,2735400
2025-02-28,345.0546569824219,355.5894822472843,339.0248676068263,353.6191352517231,5768000
2025-03-03,341.579345703125,348.5101422120251,339.61893974305315,345.96557274353665,3011100
2025-03-04,342.3615417480469,345.78732696748546,338.6189128670981,338.7971260957446,3156300
2025-03-05,344.8170471191406,345.3516868241794,340.0644826743327,341.8070926590165,2578500
2025-03-06,338.46051025390625,343.6685187031406,336.4604911818288,341.1140080839994,3467600
2025-03-07,338.7971496582031,339.5001522465472,332.58914670160414,335.64859486964343,4459900
2025-03-10,331.9851379394531,336.5396673650279,329.2425336499402,335.53967299525226,3454700
2025-03-11,324.5494079589844,331.12374781788867,322.331532520714,329.7870881570834,3390000
2025-03-12,321.12359619140625,326.7375547451952,319.6978601147597,325.25238404180794,3086200
2025-03-13,313.9353942871094,320.4899429018823,311.49969254900367,320.4899429018823,3667400
2025-03-14,315.6680908203125,315.74728662979214,311.182876488626,313.28191292240416,4086000
2025-03-17,322.4899597167969,323.4998951384081,316.4403788577849,316.83641833753165,3518100
2025-03-18,320.8661804199219,321.83647258762426,316.3314423797987,320.44043874569024,2811300
2025-03-19,321.26220703125,323.4998737569422,317.89582635208706,321.975090134027,4314100
2025-03-20,297.9351501464844,303.8164285942361,288.6280863771127,293.2221987425401,10699500
