,Close,High,Low,Open,Volume
2025-01-10,125.23274230957033,127.00888306715082,125.05413576494436,126.13569972137913,741500
2025-01-13,127.26686096191406,127.30655971555458,124.29009791600345,124.74653516872036,828000
2025-01-14,128.74533081054688,129.11246101294066,127.47524320917752,127.872139906866,469500
2025-01-15,129.9161834716797,131.90069719258682,128.9140094932513,131.4839511280729,641100
2025-01-16,131.5930938720703,131.82132384062626,129.6085802434008,129.6879626054241,552500
2025-01-17,132.5555877685547,133.04179907132243,131.5633309274565,132.54567065077333,592900
2025-01-21,134.02413940429688,135.22476170872997,133.4287792406746,133.6272275816694,610100
2025-01-22,131.15650939941406,134.24242895521456,130.70999682381876,133.43870329101523,898800
2025-01-23,132.21823120117188,132.38691305637178,130.35278339437986,131.36488966621795,704300
2025-01-24,131.50379943847656,132.71435400966624,131.17635286030512,132.3769903136004,603800
2025-01-27,134.4508056640625,134.53018803040865,131.56333454335416,131.80148164239262,962400
2025-01-28,131.08705139160156,134.41111785307217,131.04736777998707,133.7859912005201,640100
2025-01-29,129.9856414794922,131.60302491695086,129.86657550787368,130.88859880596527,624600
2025-01-30,132.48614501953125,133.33948655588574,130.58101359571066,130.7099966965819,565800
2025-01-31,131.70223999023438,133.89513416622188,131.35495919681688,132.48613133602495,862600
2025-02-03,127.73323059082033,128.9735517555663,126.01663033819086,128.41789029626236,1033400
2025-02-04,127.49508666992188,128.93385605807552,127.36608843587187,127.83245036136576,877400
2025-02-05,128.0706024169922,128.51711498363687,126.820349061621,128.51711498363687,990600
2025-02-06,128.29881286621094,128.87432365219877,127.3859383872558,128.45757759489126,967700
2025-02-07,127.69353485107422,128.7056410647876,126.9195757290104,128.35834511537837,939100
2025-02-10,129.54904174804688,129.54904174804688,128.01104072310312,128.5071691091729,1190000
2025-02-11,130.70999145507812,130.84890680934956,128.52702939911097,129.4299867721942,1000200
2025-02-12,130.48178100585938,130.52146461956954,127.85230630420206,128.09043826774018,993500
2025-02-13,132.11898803710938,132.14875453012277,130.20393966360746,130.99774813878483,1257300
2025-02-14,132.3571319580078,133.21047339881378,131.73200533839503,132.51589667737568,1354600
2025-02-18,124.91521453857422,132.12892609464467,124.6473085193761,129.92611467114386,1917900
2025-02-19,125.5998764038086,126.29445318458323,123.22838309046772,124.91521674110278,1503700
2025-02-20,126.12577056884766,126.47305895712928,124.62746058475372,125.282353748644,1207100
2025-02-21,126.17538452148438,126.92949427590878,125.02436294317503,126.92949427590878,871100
2025-02-24,126.93942260742188,128.75524693931845,125.55026146522974,126.56236771938768,883700
2025-02-25,128.88424682617188,130.0055019567866,127.29662974604337,127.72330808184132,968100
2025-02-26,128.41787719726562,129.2712186771931,128.07059639094393,128.69570789857804,690400
2025-02-27,126.40360260009766,128.94377777557537,126.33414492171566,127.6637730697242,1026000
2025-02-28,127.71337890625,128.011043832613,125.9570801375224,127.1081016549166,1212000
2025-03-03,125.5403289794922,129.01323540443084,125.07397463522524,127.89198035779242,922400
2025-03-04,122.83147430419922,124.86559627029864,122.31549651149814,123.96264648855002,1165000
2025-03-05,125.50065612792967,126.52267952437072,123.62528362096587,123.89319722352614,754400
2025-03-06,126.36390686035156,127.0386418132986,124.49846672941273,125.47087419169829,815900
