,Close,High,Low,Open,Volume
2025-01-10,290.211669921875,298.14724222954595,290.0731597613907,297.2665990378377,2685500
2025-01-13,293.8924560546875,294.5751929737144,288.0941746220668,289.4398397286354,2202800
2025-01-14,297.1972961425781,297.3754237525084,293.60554418150446,296.44531921935504,2370900
2025-01-15,309.0314025878906,310.65411834191286,301.0067819415135,301.7884720124931,3099500
2025-01-16,308.2002258300781,310.6936801632908,306.8644348601922,309.4073808270971,2361000
2025-01-17,309.26885986328125,312.0789521217145,307.4976994263807,309.72400778358474,2183500
2025-01-21,314.60211181640625,316.33368493966884,311.683162187268,313.6027370938982,2779100
2025-01-22,318.8568420410156,319.4208474260913,314.3349549859196,314.9583261803463,2927400
2025-01-23,322.438720703125,322.83450283159345,318.5995706448754,320.1431420832709,3935800
2025-01-24,317.9564208984375,321.0534681420904,310.42656550213604,320.9841979656451,6260100
2025-01-27,313.0882568359375,315.4728540763868,308.5564652106095,314.78024287081274,3099100
2025-01-28,313.70172119140625,314.5229683818806,307.44826067502225,313.30593904905425,2431300
2025-01-29,311.9305725097656,316.1160435603221,310.83227475817057,313.2960466197164,2155400
2025-01-30,315.591552734375,318.50059772580136,312.6726033775145,313.66207364136744,2517400
2025-01-31,314.1073608398437,318.2532438392884,312.18778602976136,317.5309196449832,2033400
2025-02-03,313.19708251953125,313.6621348421311,305.9343729893224,308.9027843600681,1997200
2025-02-04,312.50439453125,314.0182828967815,309.8130340818343,311.93051503814286,1884100
2025-02-05,317.1549377441406,317.3330351643484,311.78212086086245,314.5922130992413,2065700
2025-02-06,316.7789611816406,319.8463256415817,313.8699156185747,319.6979111120869,1730400
2025-02-07,313.4345397949219,318.0157927545573,312.9596133102456,317.45178735776284,1607100
2025-02-10,306.9931030273437,315.0968682054218,302.7878537306271,315.0968682054218,3227000
2025-02-11,306.3103332519531,307.2404377655446,303.1143332576984,305.2812756674234,1856100
2025-02-12,303.1736755371094,304.717246696016,300.70990430197674,303.61894922366275,2238400
2025-02-13,304.2621459960937,306.36972276561147,302.6592087900493,304.3116074372719,1975200
2025-02-14,307.7648620605469,308.5663306177791,304.1829842721782,304.19285844210566,1725500
2025-02-18,309.5558166503906,310.3869681520244,305.7760325244867,310.0901391143837,2024500
2025-02-19,306.6567077636719,308.71479309797814,303.6388046492952,307.1118557344452,2148200
2025-02-20,300.6604309082031,306.69620577834183,295.54488636634056,306.45874256910264,2830300
2025-02-21,292.28955078125,301.7291068735282,290.7558837362804,301.7291068735282,3280200
2025-02-24,292.4181823730469,295.83186728798614,289.3409439625061,293.9815322987536,2450600
