,Close,High,Low,Open,Volume
2025-01-10,100.15125274658205,101.4152389778491,99.59826065389076,100.19075325805316,1537800
2025-01-13,101.57323455810548,101.60285805633508,99.72662531762523,100.77336997009908,2021400
2025-01-14,103.96296691894533,104.07159144352396,101.57324244611938,101.7411139717583,2150700
2025-01-15,102.14598846435548,104.24933987330373,101.0004962186882,104.24933987330373,1548600
2025-01-16,104.9405746459961,105.17757770581012,102.12622923278398,102.244730762691,1662600
2025-01-17,105.13807678222656,105.75031584945772,104.62457768860156,105.36519529621494,1712800
2025-01-21,105.32569885253906,106.12556343156162,104.75295278002709,105.6120643548434,1230000
2025-01-22,105.36519622802734,106.69831396068255,104.86158167484184,106.6489364394909,1474300
2025-01-23,104.96033477783205,105.31583185429508,103.6963485210534,105.07883631463716,1584200
2025-01-24,104.92082214355467,105.34544318394076,103.97283256049651,104.90107565667807,1208400
2025-01-27,108.02153778076172,108.19928629410464,106.20455967454625,106.80692921787778,1552800
2025-01-28,106.184814453125,108.29804276800684,105.77007039894114,107.65617266474976,1265600
2025-01-29,105.434326171875,106.53044090524928,105.18745361992498,106.05644982451858,1500100
2025-01-30,105.77993774414062,106.42180025479466,104.7134466731612,106.36255326216845,1928800
2025-01-31,104.199951171875,105.66143982267874,103.46921061344888,105.66143982267874,3425100
2025-02-03,105.09857940673828,106.02682258016104,103.5877206475814,103.69634516932032,2514100
2025-02-04,104.65421295166016,105.18745102081816,103.62722225685,104.56533491749902,1622000
2025-02-05,105.84906768798828,106.10580969307988,104.14070647651606,104.95044806831258,1533400
2025-02-06,104.08145904541016,106.6390548126525,103.58771399067288,106.5501843190966,1337800
2025-02-07,103.70620727539062,103.94321032449469,102.99522072993322,103.80496231282643,855100
2025-02-10,103.24209594726562,103.6370859715004,102.5607253477426,103.46921445780544,1086500
2025-02-11,103.56796264648438,103.61734016681508,102.44222449530152,103.47909215063136,1222800
2025-02-12,104.62457275390624,105.1578183103112,102.97546610021692,102.97546610021692,1438200
2025-02-13,106.184814453125,106.54031150926885,104.60483172245894,104.87145074759086,1230200
2025-02-14,103.9717025756836,106.1699626388893,103.95190176591775,105.9719167678434,1723600
2025-02-18,102.84286499023438,103.70434750979976,102.20913332802904,103.14982663936208,1237500
2025-02-19,103.33797454833984,104.03111623479352,102.90228117132452,103.31816618319672,1094700
2025-02-20,103.40728759765624,103.53601175098206,102.12992002815176,102.18933001358248,1727100
2025-02-21,104.29846954345705,104.54602120900896,102.02099119850848,103.13002537986488,1978500
2025-02-24,106.53633880615234,107.73449560152416,103.83307865494793,103.83307865494793,1706600
2025-02-25,109.48715209960938,110.1109795871529,107.28889206539309,107.32850123907993,2470400
2025-02-26,107.52653503417967,108.9227300179272,107.35820171909266,108.9029292092546,1874400
2025-02-27,108.29890441894533,108.65537941859913,106.1600544210224,106.94231858389176,988800
2025-02-28,110.1109848022461,110.26942150449734,108.090969731287,109.53667064327972,1949200
2025-03-03,110.96256256103516,111.04178091171164,108.98214912218933,109.75450915459076,1728200
2025-03-04,109.6257781982422,113.4776814934045,109.51685486149036,111.89335235157432,1583600
2025-03-05,109.57627868652344,111.14079955435967,109.16038612475045,109.74461201491756,1563900
2025-03-06,109.80402374267578,110.6060887768978,108.93264453950468,109.5762804252764,1716400
2025-03-07,111.22992706298828,112.73503801276414,109.21980855076085,109.66539857048528,1696800
2025-03-10,112.09140014648438,115.31947623996412,111.83395183299228,112.2795418449176,2232400
2025-03-11,111.09129333496094,112.17061502380643,110.45756164423598,111.64580667567589,1535400
2025-03-12,107.96223449707033,109.6851920270704,107.49683614274971,109.15048706112496,1540400
2025-03-13,108.68508911132812,109.31882079264498,107.62556824837549,108.02164488319036,2196900
2025-03-14,108.03155517578124,108.46724856433372,107.11066259386318,107.88302265198584,938200
2025-03-17,108.24939727783205,109.16038563826974,107.4968380626246,107.7839989151995,1616100
2025-03-18,106.3283920288086,108.12067128123212,106.19966787833695,107.99193957608294,1207100
2025-03-19,106.97203826904295,107.17998078829234,105.7540881484855,106.16997318698424,1413800
2025-03-20,107.01164245605467,107.37802167079332,106.0610448889609,106.93242410346072,1391200
2025-03-21,106.10065460205078,108.10086890976152,105.52633287485575,107.2888996782602,2538700
2025-03-24,105.85310363769533,106.86311120390168,104.91240268748513,105.75408447311476,1424400
2025-03-25,103.704345703125,106.05113062692458,103.20924237848511,105.82338732820946,1084000
2025-03-26,105.26887512207033,105.50653017680376,103.81327001920876,103.81327001920876,1187300
2025-03-27,107.32850646972656,107.47703898962158,105.30848384131669,106.3382997433302,1051500
2025-03-28,108.04145050048828,108.4177263158656,107.10075718470632,108.00184132707848,1138400
2025-03-31,109.01185607910156,109.14058778993966,107.8632201923083,108.43754191304386,3010300
2025-04-01,108.3979263305664,109.91294134029232,107.31859712230606,109.5069529757632,1518100
2025-04-02,107.25918579101562,108.96234246579344,106.68486411144129,108.5761624703121,2056300
2025-04-03,109.67530059814452,111.24972568793116,108.30881046244365,108.70489466923634,2597000
2025-04-04,105.051025390625,112.79444905288008,104.83318626211069,110.5862847833264,3154300
2025-04-07,101.5457000732422,105.13024349106144,100.89216002521336,102.59531675739775,3061300
2025-04-08,100.60499572753906,103.81326320920438,99.92175826536383,103.0012940454904,2387200
2025-04-09,100.91197204589844,103.61523220332371,99.0206735547572,99.84254695838436,2203300
2025-04-10,102.75375366210938,103.605332092523,100.24853173146302,101.55560437156886,2262700
2025-04-11,103.32806396484376,104.19945066489412,101.0604897958049,102.11011399771309,1524300
2025-04-14,104.54602813720705,105.16985565605468,102.14972966898584,103.51621223370454,1684300
2025-04-15,104.04102325439452,106.00163594974848,103.22905401897437,105.90260923068811,2307400
2025-04-16,101.9516830444336,105.0807399077141,101.55559884526576,104.59553317526156,1236400
2025-04-17,104.3380889892578,104.83319236910772,102.0804112312126,102.486399628935,1704500
2025-04-21,102.12992095947266,104.49651442662834,101.37736173355088,103.97170607139736,2038700
2025-04-22,102.8329620361328,103.18943704471448,100.763433704618,102.14972456524916,2022800
2025-04-23,101.12979888916016,102.61510881193766,99.59498316842958,101.94176801142478,2938400
2025-04-24,99.2286148071289,100.56539237226842,98.27801725959242,100.06039238289694,2662800
2025-04-25,98.3374252319336,100.29803782742331,97.3868277038614,100.09999195406812,2777200
2025-04-28,97.84231567382812,98.81272150501589,97.38682152602232,98.18889404154476,2754500
2025-04-29,98.04036712646484,98.29781542816256,96.58476207399966,97.21849375532528,2568200
2025-04-30,98.36712646484376,99.0602756630796,96.7431881387832,99.0107623079637,3142900
2025-05-01,91.4752960205078,93.0101194910399,90.87126930407992,92.07932273693572,4640800
2025-05-02,92.02981567382812,93.06952820492448,91.40598060049253,91.84167397810116,3110400
2025-05-05,91.87137603759766,92.73285858272156,91.01979767474256,92.36647938555168,1976900
2025-05-06,91.1683349609375,91.63373334111716,90.18803239599868,90.79205911648572,2060500
2025-05-07,91.089111328125,91.81196553612382,90.6534255215606,91.108919692551,2089300
2025-05-08,91.27725219726562,92.55461972288369,90.5445013683102,90.78214885654594,2017500
2025-05-09,90.67322540283205,91.52480375216984,90.5445012540912,90.8811678991107,1892500
2025-05-12,94.24787139892578,94.51522387646595,90.09890302329354,90.35635887347556,3965100
2025-05-13,93.17845153808594,94.00032493495662,92.2080531758464,93.91120240105752,3675500
2025-05-14,92.24766540527344,92.91110212147603,91.14853529709154,92.74276878536698,2539100
2025-05-15,93.93138885498048,94.01085885599493,91.9943549469808,92.63009979774358,1908300
2025-05-16,95.18301391601562,95.30221891637314,93.62345116005096,94.0108579378674,2058100
2025-05-19,95.33202362060548,95.58036170127654,94.7062068069612,95.18301925646746,2250000
2025-05-20,96.20616912841795,96.28563913162182,94.98435003853464,95.21281682439988,2410500
2025-05-21,95.19294738769533,96.31543269540194,94.82540432899036,95.53068351298404,2062800
2025-05-22,94.57707214355467,95.39162073131672,93.84199355915398,94.77574715195802,2431000
2025-05-23,95.30221557617188,95.4710836367525,94.0406539973023,94.81546752577913,1816000
2025-05-27,97.2392578125,97.41806153290504,95.2922881784655,95.52076254624625,2790000
2025-05-28,97.3087921142578,98.500819442481,97.10018903702102,97.6068008409828,2340800
2025-05-29,97.48758697509766,98.2226655012264,96.68297409620912,96.9511758629466,2304100
2025-05-30,97.65645599365234,98.49087581363844,97.23924987299736,97.51738728676736,4911600
2025-06-02,98.3816146850586,99.55377072583924,97.2491936465203,97.76573351831732,2658600
2025-06-03,98.87828826904295,99.28555876873229,96.94124674824629,98.0438684010459,3754100
2025-06-04,98.96768188476562,100.02064042268655,98.3120733410377,98.92794688534632,2171700
2025-06-05,98.3319320678711,98.9478131596426,98.05379466470842,98.9478131596426,1687500
2025-06-06,98.41140747070312,99.16635730554287,97.90479569928785,98.49087746988126,1550100
2025-06-09,98.05380249023438,98.83855169960204,97.18958327971332,97.98426813389428,2143400
2025-06-10,98.6994857788086,99.01735821373728,97.54719346551929,98.1134039770696,2152300
2025-06-11,98.44121551513672,98.91802797361753,97.95447498988948,98.53062116677302,1409400
2025-06-12,98.42134857177734,98.54054599847665,97.37832561609856,98.3319429230762,1730300
2025-06-13,96.44457244873048,98.88822580838496,96.27570437437254,97.86506655972272,2129100
2025-06-16,97.13992309570312,98.063741045166,96.65318258687802,96.7922513036852,2117900
2025-06-17,95.52075958251952,96.48430493509196,95.2227508648652,96.3551718660692,2848400
2025-06-18,95.25254821777344,96.05716112837231,95.07374450667632,95.12341515146632,3076900
2025-06-20,95.78895568847656,96.3949011540992,94.74593281717831,95.01414216290694,4741900
2025-06-23,96.30549621582033,96.46443621129052,94.88500221567868,95.59028897223266,2010100
2025-06-24,95.38168334960938,96.55383935247929,95.02408349834752,96.32537257032097,1843000
2025-06-25,94.61680603027344,94.9942771737767,93.88172745453488,94.9942771737767,2033300
2025-06-26,94.3386688232422,95.54062419271952,93.95126203385183,94.9446143304787,2057500
2025-06-27,94.1499252319336,94.8651400659615,93.86185216941256,94.35852829541236,3093600
2025-06-30,95.47108459472656,95.6995513663514,94.0108555862483,94.02079123069863,2824400
2025-07-01,96.99091339111328,97.36838451898622,94.85520453110902,95.59029065508572,2415000
2025-07-02,97.3783187866211,97.52732313822167,96.4843002556937,97.04058266309082,1608900
2025-07-03,97.75580596923828,98.03394340773028,96.7227186414988,97.6068016047099,1204900
