,Close,High,Low,Open,Volume
2025-01-10,168.15663146972656,172.68698325033276,167.62307509245872,171.94001912466513,2781400
2025-01-13,166.77908325195312,167.96260283851794,164.94560041743983,166.6335746152879,1798000
2025-01-14,168.69017028808594,169.2819300626401,166.8566875115994,167.5066507389776,1537400
2025-01-15,169.6796875,174.6077825497145,168.92301294536932,174.501071276497,1859800
2025-01-16,174.7144775390625,174.85998616965773,169.98039939028882,170.34904099113763,1735200
2025-01-17,173.0944061279297,176.39274491467705,172.82278014346304,175.75247732164596,1639400
2025-01-21,178.07102966308594,178.50757041806798,174.62718183599156,175.28685559224857,1926400
2025-01-22,176.98451232910156,182.12602977541584,176.44126033673749,178.97321428883242,2723400
2025-01-23,178.0225067138672,178.88589250789337,174.9764025279483,177.04271400907544,1765800
2025-01-24,175.10250854492188,179.12840517495252,174.8793903795662,177.73147792869875,1851700
2025-01-27,159.8137969970703,161.32714606124387,151.64558142575683,161.1622313352769,8405400
2025-01-28,157.29153442382812,159.80408222000705,151.42244433586686,159.52276058981002,4745500
2025-01-29,156.893798828125,159.46456500807713,155.70058354750958,157.417659548156,2660000
2025-01-30,159.3190460205078,160.91000470668155,157.29154659043107,158.70789490004654,1964200
2025-01-31,158.96011352539062,162.68528288664118,158.82430052167336,160.0369219129013,2010600
2025-02-03,156.60276794433594,157.61167721900603,155.0603171060018,156.8064948486947,2242700
2025-02-04,158.4556427001953,159.0474024707834,154.52674683334038,154.9244901616467,2055300
2025-02-05,162.19053649902344,162.38455295850005,158.3101480994631,159.90110675118257,1647600
2025-02-06,163.08302307128906,163.72329070595762,161.54057224436596,163.1800387016959,1276600
2025-02-07,163.0442352294922,164.1113332137977,161.7733955279208,163.34496297781928,1054300
2025-02-10,161.41444396972656,163.66507618090594,160.5316521212464,163.24792676137446,2163900
2025-02-11,160.706298828125,161.16224567681613,159.2899504636255,160.06603115091943,2571200
2025-02-12,158.33924865722656,159.9011055685988,156.66098483153064,157.20423683505024,1803600
2025-02-13,159.88168334960938,160.21151277525044,156.69976639076586,156.69976639076586,2707300
2025-02-14,159.3675537109375,160.70629247352076,152.5186704112131,159.8817040004064,4795100
2025-02-18,160.6965789794922,162.8405000874042,159.80409142220742,161.06522061494937,2364200
2025-02-19,164.5381622314453,164.8873977636444,159.74588040724356,160.37645237503693,2119200
2025-02-20,166.85670471191406,166.96341598726036,162.75319803724753,164.63518881925984,2131800
2025-02-21,160.41526794433594,166.5947821542783,159.6876950699154,166.4492735003974,2498400
2025-02-24,154.91481018066406,159.50336537563268,152.60597431734672,159.06682463574262,3969200
2025-02-25,153.4305419921875,156.2632233990153,152.72236053860163,155.46773676978358,2952200
2025-02-26,154.6140899658203,156.2632521759131,153.915618827015,154.26485439641766,1896800
2025-02-27,152.5671844482422,156.64158955841438,151.89781503965878,156.12743924798238,2299800
2025-02-28,151.6455841064453,153.05222192544625,150.10311848453412,152.01421093467917,5769900
2025-03-03,150.665771484375,154.3036354464374,148.6188661029543,153.6051643815209,2455700
2025-03-04,151.01499938964844,152.50895707068491,147.25101826353668,150.3456300860352,2562200
2025-03-05,152.5768585205078,153.6827685341004,149.96729516148082,150.12251423768825,2016000
2025-03-06,143.98179626464844,150.4620519805037,143.8944910864609,150.36503635862493,2557800
2025-03-07,144.70938110351562,145.1944296483967,139.95591128468394,143.98180828619402,2704700
2025-03-10,141.27523803710938,144.0594118320102,139.47085693317385,143.25422950472918,2903500
2025-03-11,142.6139678955078,145.1459218929255,140.3924520721446,141.2170405197833,3725500
2025-03-12,147.13462829589844,147.75548986009937,144.0982195759354,145.3302470620477,2607800
2025-03-13,141.5759735107422,147.20253966588234,141.19763623285814,146.09662956110537,2442600
2025-03-14,145.3423309326172,145.567330013839,139.9129014350114,143.46402970591092,2814600
2025-03-17,148.55108642578125,150.02827651778907,144.6379858540364,144.84341527476835,2224700
2025-03-18,145.4303741455078,148.98150246624922,144.60862667684805,148.98150246624922,1933500
2025-03-19,147.80758666992188,149.90109486322189,145.37169113550425,145.66516173437824,1883200
2025-03-20,148.12062072753906,148.8151876154186,146.50645802775713,147.18147016336667,1392200
2025-03-21,147.11300659179688,148.3749748365387,144.6086248556354,147.2303948209005,4766100
2025-03-24,152.11199951171875,152.26851218178106,148.81520229932448,149.08911813105013,2023100
2025-03-25,148.1304168701172,151.74025445106466,146.98583677106205,150.7424096490831,2582200
2025-03-26,146.15428161621094,149.832605234789,144.7064387702239,148.65867819946732,2241800
2025-03-27,141.80096435546875,146.0760364396589,141.6248820130054,145.56732923816617,2706500
2025-03-28,139.01287841796875,142.6031457461919,136.84110680272664,141.51725993857085,2799200
2025-03-31,140.17703247070312,141.77162565997872,136.24437731748463,138.82702298365064,3860200
2025-04-01,142.87709045410156,143.1705759882807,138.5922404660517,140.9596645677864,2117800
2025-04-02,145.44993591308594,146.02712957163135,140.82269883122808,141.69336308038055,2164400
2025-04-03,138.0248260498047,141.22378970848703,136.7139410384975,140.03029292885125,3789300
2025-04-04,134.5128173828125,137.2715601480549,132.5856143686717,136.87046380094506,3800800
2025-04-07,133.7008514404297,138.46504623374355,127.12684180462004,132.06713387195546,3819500
2025-04-08,133.1530303955078,139.89334553797292,130.9127868846224,136.46938253529527,3515200
2025-04-09,142.6031494140625,143.09228690886397,128.03663541596637,131.5877634776667,3469500
2025-04-10,139.19876098632812,141.32163114387248,134.77696816840506,139.59985737018076,2162700
2025-04-11,141.93792724609375,142.49555120471794,136.5476369491919,137.81939753391467,1663400
2025-04-14,143.1314239501953,145.37168223303425,142.54446786109824,143.85535288010402,1324500
2025-04-15,143.05316162109375,144.96079505300114,142.21184445018932,143.79666023979124,1587500
2025-04-16,144.96080017089844,146.16408931660146,142.4759879331752,142.4759879331752,2077800
2025-04-17,147.4749755859375,148.63912537693977,146.01734027099698,146.7412692397388,2040300
2025-04-21,143.1607666015625,146.9956029893343,140.705301610743,145.71406506786653,2572900
2025-04-22,145.6553955078125,146.59454627798976,144.02167769740083,144.67712029722142,2097000
2025-04-23,148.2967071533203,152.96308319265012,147.5336538295673,149.57824504507752,1785000
2025-04-24,150.4097900390625,151.7402447138981,148.0032268304287,148.81519691915048,1957400
2025-04-25,156.40663146972656,160.9066880799488,154.2642065616094,156.69032468743765,3387600
2025-04-28,156.8664093017578,157.60011558487682,155.32073294071205,155.72181436407476,2264700
2025-04-29,156.39683532714844,157.94251177510804,155.37943579202351,156.73923758277436,1624800
