,Close,High,Low,Open,Volume
2025-01-10,35.82217025756836,36.1338688092595,35.775648668406504,36.02686950912421,7833500
2025-01-13,36.910789489746094,36.92939883485041,35.86869100949204,35.86869100949204,8230600
2025-01-14,37.292274475097656,37.320186717122304,36.90148533990484,37.14339971931408,4516000
2025-01-15,37.59002304077149,37.93428709644733,37.34810507239487,37.66445688147729,5446400
2025-01-16,38.02732467651367,38.19480523011484,37.310880874857496,37.52488656507978,5812300
2025-01-17,38.185508728027344,38.50186054344028,38.13433390866862,38.25063967096205,6194800
2025-01-21,38.68794631958008,38.85542333388229,38.28785425629356,38.44602837233391,5583600
2025-01-22,37.980804443359375,38.58094252359816,37.97150154532524,38.52046481295197,5607300
2025-01-23,38.58559799194336,38.6414224821351,38.055244038902295,38.10176563051871,5442400
2025-01-24,38.49254989624024,39.00429448463882,38.43672540802535,38.818208124762826,5111600
2025-01-27,39.00429153442383,39.05081667024355,38.40415703528819,38.83681453307705,6182700
2025-01-28,38.5390739440918,39.24063177539922,38.40881206412305,39.08803725922439,6009600
2025-01-29,38.19480895996094,38.59024781426916,37.99476292081161,38.36228952991712,6765200
2025-01-30,35.86869430541992,36.73400941075016,34.88242376985169,36.5851381856057,18933200
2025-01-31,36.33391571044922,36.54791786523353,35.73843083637638,36.124566779503866,12725800
2025-02-03,34.78007125854492,35.63607984493692,34.11014902615488,35.543036667935944,14986900
2025-02-04,35.86869430541992,36.21295834805959,34.928945362202455,34.966164055831065,10017100
2025-02-05,35.310428619384766,35.77565164849558,35.0964264519182,35.56164948102901,6757400
2025-02-06,36.07339477539063,36.18504731063421,35.5337343478681,35.56165014370657,7610300
2025-02-07,35.8966064453125,36.31065460900468,35.66864463207597,36.194348865285086,5966200
2025-02-10,35.88730239868164,36.2873944677889,35.49651677734145,36.19435128633739,5911100
2025-02-11,35.94313049316406,36.129220405726834,35.76169380449208,35.96173983935733,5446500
2025-02-12,35.59886169433594,35.87799832831207,35.406262244035254,35.71051776767428,5607400
2025-02-13,35.673301696777344,35.97569737288271,35.40347149044516,35.701213942477224,6619000
