,Close,High,Low,Open,Volume
2025-01-10,85.20939636230469,86.13737073644313,84.86140505014218,85.2770609299538,2243200
2025-01-13,85.51873016357422,85.5283986385098,84.36842501746328,85.42206753887505,1883600
2025-01-14,86.38871002197266,86.59170374979911,85.31573790711457,85.518731634941,2104000
2025-01-15,87.22000885009766,87.52933363316554,86.43702473132855,86.82368255388452,1971800
2025-01-16,89.14363098144531,89.15329945606419,87.01701643329554,87.04602185715216,2097600
2025-01-17,90.5259246826172,90.69992034523004,88.67963696406487,88.92129719686689,3516800
2025-01-21,90.10060119628906,91.79222284248831,89.79127639026518,90.7385877570862,2761500
2025-01-22,87.74199676513672,89.77194868268491,87.63567304434525,89.77194868268491,1805200
2025-01-23,87.73233795166016,88.38965411711558,87.33601160746719,88.1963214949902,1649700
2025-01-24,87.57767486572266,88.02232884957436,87.34568308607953,87.38434961183434,2597000
2025-01-27,91.72457122802734,92.86520799415,88.7086484121218,88.89231257675839,4043800
2025-01-28,90.27459716796876,91.65689401285046,90.2069325968858,91.25090658635278,2470600
2025-01-29,89.48194885253906,90.71924803886236,89.21129057739145,90.28426257878726,1935900
2025-01-30,90.72891998291016,90.89324717412242,89.60761294311672,89.99427079735187,2274000
2025-01-31,90.6129150390625,91.09623548446484,90.12959459366016,90.42925828473122,6072700
2025-02-03,92.43021392822266,92.85553094802378,90.54525957667704,90.61292415084212,3234900
2025-02-04,91.743896484375,92.21754848686864,90.5162583428554,91.44423277371212,2186500
2025-02-05,92.981201171875,93.22286142453096,92.01456016125113,92.61387286791113,1874100
2025-02-06,92.23687744140624,93.12618534314277,91.65689434787744,93.08752619514132,1586800
2025-02-07,92.87486267089844,93.00052333730868,91.48289736654166,91.9372197853184,1520000
2025-02-10,93.47418975830078,93.59985781899395,92.06289466237656,92.79754395028444,1570600
2025-02-11,93.09719848632812,93.50319333800138,92.55588185061184,93.34852722786184,3162400
2025-02-12,91.4152374267578,92.42054493361806,90.40026144510394,92.20788273747074,3704200
2025-02-13,92.46887969970705,92.77820451835498,91.3379041480356,91.44423524584133,1860300
2025-02-14,91.7535629272461,93.17452639236171,91.72456487691892,92.79753698833744,1948200
2025-02-18,92.56554412841795,92.86520047814204,91.38624092966634,91.62790117941428,2568500
2025-02-19,92.90689849853516,93.57010149995426,92.16566986378815,92.54603552509415,1857500
2025-02-20,93.39454650878906,93.62861596524068,92.1656688407838,92.66307294656062,2580200
2025-02-21,95.83279418945312,96.88611049113617,93.50183230626948,93.6871338869812,4414800
2025-02-24,97.21771240234376,98.26128104483516,95.87180373773629,96.36920039845614,2943100
2025-02-25,98.4758529663086,99.43164096280276,97.25673030888858,97.76388206036428,3481300
2025-02-26,97.49079895019533,97.9491902560535,96.65204197371736,97.7151207912723,2072700
2025-02-27,97.4517822265625,98.32955198547732,95.94007466931336,96.51549696403129,3313900
2025-02-28,99.01226043701172,99.12929888845603,97.36401169787496,98.6123920828782,5254600
2025-03-03,101.45050048828124,101.73333781736964,98.38806518840504,98.38806518840504,3555900
2025-03-04,99.62670135498048,103.24505637499846,99.58768853847886,102.21124278097444,3592000
2025-03-05,97.72486877441406,99.14881057948352,97.21771702536712,98.52461293621428,5509700
