,Close,High,Low,Open,Volume
2025-01-10,879.65625,913.519592094522,878.678669531141,903.606971487043,780900
2025-01-13,879.480224609375,881.3180805219333,868.5997500597136,871.1512205659412,403400
2025-01-14,877.955322265625,887.5746812435925,874.5924428640866,881.3865797973273,797700
2025-01-15,879.8321533203125,907.5367486938716,873.0966099832757,899.8627663510687,552800
2025-01-16,899.2664794921875,901.0163269885026,879.8126049945045,884.6809364610484,514900
2025-01-17,895.0628662109375,911.2222392236858,894.4567114684764,911.2222392236858,623400
2025-01-21,913.0601196289062,914.0572707586996,902.9714824532934,902.9714824532934,665900
2025-01-22,904.4866943359376,926.2085618491536,903.597122425379,918.9353612869868,375600
2025-01-23,919.8347778320312,920.4213619098596,897.8294320646177,911.486262158582,497400
2025-01-24,919.756591796875,928.310421192694,914.7220880096888,918.925672236564,364400
2025-01-27,879.9201049804688,888.4544225506925,838.666259327207,887.046704370732,976200
2025-01-28,886.4796752929688,890.3802115209699,866.3512687135849,879.7637027550114,734100
2025-01-29,887.8677978515625,894.9552555141048,880.5653011482757,888.8845196202327,344800
2025-01-30,901.4562377929688,915.6800209757424,894.8575699555896,900.4884427235037,401600
2025-01-31,893.1760864257812,918.3977086038752,892.501553559776,903.186559891354,652000
2025-02-03,894.4861450195312,897.2527145026282,880.6924986770164,890.7224840137559,393700
2025-02-04,903.5580444335938,906.5200820309408,884.8373558306074,885.7855801824202,311300
2025-02-05,915.5040893554688,916.1101844597566,903.3918532873228,913.9692808924252,326200
2025-02-06,917.3028564453124,922.85550618524,910.9387982333798,920.8514185495528,241300
2025-02-07,912.3464965820312,921.828978911338,908.0744749250524,921.0664972113668,357200
2025-02-10,921.9952392578124,922.4938148336316,907.2435240247346,914.858913911394,373700
2025-02-11,922.4840087890624,922.777270983914,905.767347681232,910.13716321823,437800
2025-02-12,914.2332763671876,920.8123739008928,902.7662167691758,902.7662167691758,518400
2025-02-13,902.3067016601562,903.890377121581,870.0465487297281,878.8447722562086,930500
2025-02-14,912.6690673828124,932.0349333526678,900.6839814074455,902.3263093730744,523400
2025-02-18,911.0072631835938,918.104447270434,886.9978892448837,899.530418354219,512900
2025-02-19,918.0262451171876,918.6518512444164,903.9197666998658,910.1273785515258,529100
2025-02-20,919.169921875,919.707579132852,906.2463383191572,918.0261695749484,275400
2025-02-21,899.0611572265625,914.4776196071348,895.9524586381092,914.0572671848078,664100
2025-02-24,888.6304321289062,899.3740319420515,874.4066482310042,897.5068794986839,648500
2025-02-25,886.3330688476562,894.3590258611695,882.7453652854315,887.6430529103988,853300
2025-02-26,894.4990234375,900.8077067643836,891.4527303837781,892.582817480276,664600
2025-02-27,894.5973510742188,903.8835346928028,891.2366581374943,899.4713844385383,503700
2025-02-28,888.9371337890625,898.1545230801036,882.2451971266823,894.2238687121381,1214800
2025-03-03,894.7938232421875,905.6129588999222,888.0723779367605,896.257982386236,547200
2025-03-04,894.26318359375,901.7019544313324,880.1521483349649,893.9585602691184,689600
2025-03-05,905.0529174804688,911.00785695412,888.809458137654,888.809458137654,486900
2025-03-06,856.784423828125,898.6458695391948,855.2219623014729,894.3221256730725,893500
2025-03-07,844.6190795898438,860.184438217771,831.7658222550486,857.9931174710522,1003800
2025-03-10,816.2299194335938,844.3340760750408,807.8183209161666,841.464714985875,915000
2025-03-11,821.7426147460938,829.5449662761406,811.6801488888805,817.6547604829861,1092100
2025-03-12,840.1676025390625,841.6219255796088,829.1224724724653,832.2374995162155,717200
2025-03-13,819.4923095703125,837.0525030546178,814.8836149527216,834.5860078573428,597300
2025-03-14,823.1576538085938,828.0512994423812,814.8345217381465,820.8877032460147,695300
2025-03-17,842.3883666992188,845.2086064183231,819.7575953204731,820.4848167613761,902500
2025-03-18,826.6756591796875,848.7266346152268,821.939213032545,848.7266346152268,691900
2025-03-19,840.501708984375,848.7462113511402,828.3166558432168,831.6478999812259,1079500
2025-03-20,836.9541625976562,840.9438341532313,831.4512707572472,837.5241242451702,532800
2025-03-21,820.1212768554688,833.9375252879887,817.3599944155172,831.3334426411499,1624900
2025-03-24,837.6618041992188,843.4791562136097,829.1421271473466,832.7189772507792,745800
2025-03-25,826.6362915039062,842.4473761110463,823.4819795550001,833.4756521380259,581000
2025-03-26,816.642578125,836.6398185019871,811.552387840956,832.3947045249831,764100
2025-03-27,811.0020751953125,819.0009711150658,806.2853020161127,819.0009711150658,799600
2025-03-28,789.0789184570312,811.6703463891338,783.5072323020923,809.2038510078437,896500
2025-03-31,801.2147216796875,805.6858889264091,781.3354567551904,793.0095048213545,1083800
2025-04-01,802.787109375,805.6270218188505,786.9465755725639,802.3252262550402,871800
2025-04-02,817.1339111328125,819.3056192979452,792.4886910537472,792.4886910537472,431100
2025-04-03,787.5459594726562,799.9864549141561,775.3019487798865,796.4980109457828,1222700
2025-04-04,752.9266967773438,778.6724350551857,751.8555670659707,776.9626099915304,820500
2025-04-07,734.7769165039062,766.6054068878905,713.3450244500413,737.6069926466118,927900
2025-04-08,727.2398681640625,766.7822424034629,717.5311468575266,766.7822424034629,812900
2025-04-09,783.6054077148438,784.7256585852583,689.2500320145919,716.1848742027821,753200
2025-04-10,757.378173828125,768.049886698331,737.577537219171,762.6059516559549,696100
2025-04-11,763.3626098632812,769.8678383415391,736.6439831763051,743.0312968162947,513900
