,Close,High,Low,Open,Volume
2025-01-10,107.77696228027344,111.43243269174584,107.055752961061,110.65194042176309,2136500
2025-01-13,109.24903106689452,110.12831818354488,107.69792831237552,108.23142963105636,1219400
2025-01-14,109.90108489990234,110.90881214099126,109.47626018798547,109.66397571158474,943600
2025-01-15,110.10855102539062,112.39075229120714,109.77264698641196,110.97796390286923,924800
2025-01-16,109.87144470214844,110.4741031760291,109.0020393396548,110.12831738058078,1107300
2025-01-17,109.02179718017578,110.00976091998268,108.87360111169173,109.97024146588257,1701700
2025-01-21,111.38302612304688,111.49170273373072,108.97239980553708,109.16998953174505,1344900
2025-01-22,110.96808624267578,111.7090590427838,110.4444666699432,111.0273616546636,626800
2025-01-23,112.92425537109376,113.29967886837797,111.00760335652905,111.72881264572828,682700
2025-01-24,111.63002014160156,113.08232803590845,111.35339150222218,112.697022782835,728200
2025-01-27,113.93197631835938,114.4259581802214,112.242559255299,112.242559255299,870800
2025-01-28,112.81558227539062,113.94186033990655,112.49943417899256,113.94186033990655,768300
2025-01-29,112.92425537109376,114.5543894669168,112.27219570271258,112.52906837852017,887200
2025-01-30,112.3709945678711,113.18112453959056,110.1974773376672,111.30399944876233,743400
2025-01-31,112.21292114257812,113.74426038625695,111.46206660475312,112.40062912386064,1209500
2025-02-03,109.44662475585938,110.89893269741732,108.52781815227571,110.81989378714734,1260900
2025-02-04,111.09651947021484,111.6003830877804,108.5574529616946,110.01964261239984,871200
2025-02-05,110.46422576904295,111.60038560236072,109.67385928232672,111.18544263151728,894000
2025-02-06,109.38733673095705,111.19531202272768,109.23914067567732,110.77048735096022,891300
2025-02-07,109.06131744384766,110.08880064538172,108.93288487024286,109.16999405903834,1061000
2025-02-10,111.14591979980467,111.44231193429688,109.02179626945096,109.71337540407768,819200
2025-02-11,111.03723907470705,111.35338715559492,110.019637674898,110.39506116546336,705200
2025-02-12,109.7034912109375,110.94832759546595,109.6046963474973,110.07891470703628,1095800
2025-02-13,111.38302612304688,111.42254557580144,109.66397138482986,109.66397138482986,754300
2025-02-14,112.28207397460938,112.58834030402994,110.97796221578142,111.68929727288116,1635100
2025-02-18,116.60935974121094,118.5655312749344,110.84952929267736,117.63684294161904,2271400
2025-02-19,114.87054443359376,118.32841763498216,114.66307294601827,118.32841763498216,1371300
2025-02-20,115.84862518310548,116.29320583158513,114.15920816629205,114.5445134049917,1171500
2025-02-21,114.9989776611328,115.7992258563666,112.77605930764788,115.64115558187476,2811300
2025-02-24,115.1471710205078,116.52043994583914,113.42810877381692,114.76186578462722,1924800
2025-02-25,117.05394744873048,118.40745295099798,115.48308117968442,115.48308117968442,1813800
2025-02-26,115.9869384765625,117.6565919837075,115.87826186787932,116.96502041714623,1543000
2025-02-27,115.64115142822266,117.212010056898,115.30523985844992,115.75970224544211,1338200
2025-02-28,115.94742584228516,117.10334161617644,115.10765816563504,115.72019086415938,2669200
2025-03-03,117.12310028076172,118.35805491241224,116.10549133272718,116.57971722780954,1426000
2025-03-04,116.70814514160156,117.69610880752153,115.88814102743709,116.71802688877884,1713600
2025-03-05,116.66863250732422,118.12094038709424,115.4435596005214,116.4809245253757,1462400
2025-03-06,119.28673553466795,119.5436082082783,116.77730682149054,116.9353846321938,1386700
2025-03-07,124.95765686035156,126.9434660836393,118.63468743158248,118.63468743158248,2609600
2025-03-10,120.67976379394533,127.59550194614758,120.00794819686536,125.1157185615777,2901800
2025-03-11,116.02645874023438,121.13422923381474,115.53247689278795,120.5118148195556,2505500
2025-03-12,115.6905517578125,116.67851549193142,114.60379315779473,115.50284377387418,1843200
2025-03-13,115.087890625,116.72791400387726,115.01873346670789,115.98694122036244,1538500
2025-03-14,113.76402282714844,115.73006850148543,112.62786305200557,115.52259702668692,1836700
2025-03-17,115.4929656982422,115.7794760947544,113.4972746708303,113.65535249134685,1316400
2025-03-18,115.78934478759766,117.62695790692436,114.9594588821288,115.37440183486324,1169000
2025-03-19,114.9989776611328,116.55996213615114,114.38643744576024,115.98694137379276,1113800
2025-03-20,114.27776336669922,115.4336791271103,113.74426204553292,114.3469205266153,1310900
2025-03-21,114.90018463134766,114.98909774887504,112.77606110771175,113.15148461099145,3662100
2025-03-24,116.45128631591795,116.5105617270595,114.79150696587016,115.00886019014244,1331700
2025-03-25,116.89586639404295,117.04406245872576,115.9276586373383,116.5204428960695,1169800
2025-03-26,117.73563385009766,118.89154958510456,117.32069089972056,117.32069089972056,1855900
2025-03-27,118.832275390625,119.19782468164055,117.19225953005892,117.95298828020314,942400
2025-03-28,118.28890228271484,118.9211984753194,117.63684259421098,118.50624797465096,967800
2025-03-31,118.8026351928711,119.50408851694492,117.95298580595016,118.24937793164436,1376700
2025-04-01,120.76868438720705,120.92676220222482,118.31853855495194,118.89155179047872,1058400
2025-04-02,120.4228973388672,120.79832083929006,119.09902957087732,120.36362192763332,1158600
2025-04-03,109.32806396484376,114.59390462747942,105.94922246559064,113.80353820950268,3901800
2025-04-04,107.66828918457033,110.58277913440688,105.88006973143249,107.52009311952192,2114600
2025-04-07,104.38825225830078,108.93288394920948,102.4320807389732,105.21813818085089,2185000
2025-04-08,101.60218048095705,107.0557441752178,100.46602828742029,105.87019078302092,1729600
2025-04-09,108.60685729980467,109.02180027328046,99.26072096057617,100.33759784948693,2348400
2025-04-10,106.95695495605467,108.57721486170162,104.01281973965816,108.08323299930768,1528700
2025-04-11,108.82420349121094,110.35554270970452,106.5617657047906,107.31262023026665,2297300
2025-04-14,110.70133972167967,111.23483350648576,109.28855127657587,110.16783839930848,1236900
2025-04-15,108.70564270019533,111.1459142002012,108.5278089359724,110.3061465782015,828200
2025-04-16,104.21041870117188,108.85384526813124,103.80534994939292,107.46081277550434,1480400
2025-04-17,105.41571807861328,106.13693485716934,104.51667507972869,105.11933350716797,1288300
2025-04-21,103.52871704101562,104.68463276115088,102.51111563589322,104.39812238360572,1229200
2025-04-22,105.82079315185548,105.9986269204367,103.74607087678432,104.31908409771064,1134000
2025-04-23,105.801025390625,109.02178905281194,105.07981613536722,107.79671621729648,1505100
2025-04-24,109.64421844482422,110.0591614038198,105.70223772167084,105.85043378918786,1617800
2025-04-25,107.27310180664062,109.47625666641753,106.27525634561955,108.7748033344332,1327000
2025-04-28,107.38178253173828,108.86372815856298,106.43333823507832,107.66829292409888,1143100
2025-04-29,107.05574798583984,107.6781624082632,106.3246569525476,106.72971815323314,1125500
2025-04-30,108.58709716796876,108.7846868989166,105.62320597836076,106.72972053177276,1324000
2025-05-01,108.29070281982422,109.84180554250194,107.72756380681548,108.70564576886962,1108600
2025-05-02,111.23483276367188,112.13388337617288,109.45650257187516,109.8220518655676,987500
2025-05-05,110.42469787597656,111.15579643071804,109.19962501576278,110.23698990116652,1146700
2025-05-06,104.90198516845705,107.85599449843798,104.724151402309,105.67259564257684,2507400
2025-05-07,106.69020080566406,108.67601000814938,104.94150832478884,105.88995259853397,3163200
2025-05-08,108.91311645507812,109.9109619051396,107.05574740786744,108.00419165777704,1409300
2025-05-09,107.7868423461914,109.28855144951598,107.09527074437426,108.96252160684568,916000
2025-05-12,114.68283081054688,115.3645206540848,111.96593057145132,112.00545002489145,1809300
2025-05-13,113.9220962524414,115.45344306184712,113.47751558522822,115.45344306184712,1230700
2025-05-14,112.89460754394533,113.41823463121908,112.17339827125492,113.41823463121908,1237800
2025-05-15,113.61582946777344,113.69486837554926,112.18328506777104,112.73654234707152,936600
2025-05-16,116.90574645996094,117.01442306999397,114.08016967423195,114.31727885177456,3300500
2025-05-19,116.71803283691406,116.9057483550258,115.60163655105444,115.6707937096906,1149400
2025-05-20,114.9989776611328,117.00454279182216,114.544515257817,116.71803241064296,1170500
2025-05-21,112.10424041748048,114.15920668899584,111.936288400234,113.70473676134758,1389000
2025-05-22,112.32159423828124,112.90448919688394,110.92856181846436,111.70905403744788,1396700
2025-05-23,111.1063995361328,111.85725407715864,109.48613963120052,109.99000324113833,1102900
2025-05-27,112.90448760986328,113.51702780208662,111.34350319383796,112.19315255762062,1519500
2025-05-28,110.78036499023438,113.0823221791639,110.6618141723918,112.85509475325584,1438300
2025-05-29,111.90664672851562,112.09436224646524,110.7507309904958,111.58062443097808,1565500
2025-05-30,111.37315368652344,112.37099161859749,110.84952658236084,111.96593041215154,2573300
2025-06-02,110.6270751953125,110.99513851700635,109.32394418539182,110.9155560275476,1446100
