,Close,High,Low,Open,Volume
2025-01-10,264.4723205566406,268.1649479281676,264.1987937073494,268.1649479281676,1475600
2025-01-13,268.2430725097656,268.84873694544586,262.02031463477016,262.2938414706319,1367700
2025-01-14,271.2030334472656,271.5351710447682,267.9304600256113,268.643597398366,1360900
2025-01-15,270.19683837890625,274.5830460572137,269.894006167524,274.01646541365005,1848000
2025-01-16,270.9588317871094,271.5351908788921,267.39320428726523,270.2066403918386,1417600
2025-01-17,268.7413024902344,271.04673877945834,268.3505541138461,270.4508527225995,1581800
2025-01-21,269.2004699707031,271.86734954999525,266.5530875659421,269.1223023994178,1465200
2025-01-22,264.1792297363281,268.4677728704688,263.18281691500914,267.93046777282245,1958300
2025-01-23,263.7884826660156,265.0584223354664,261.88354334964947,264.3453147507614,1758700
2025-01-24,266.97314453125,267.17828221405586,263.3000441645672,263.7591817104025,1544500
2025-01-27,275.02264404296875,275.3840870005687,267.51039023945697,267.51039023945697,1552900
2025-01-28,272.209228515625,274.57330532377216,271.64264785585834,274.4853891771975,1043200
2025-01-29,268.7022399902344,272.92239433872163,268.6534076188896,272.20925688149447,1078400
2025-01-30,263.0167236328125,264.84349531150656,257.2140195874381,258.8747373747174,2827400
2025-01-31,258.74774169921875,264.72627813209,257.6927181337312,263.85686525689385,2341200
2025-02-03,241.62294006347656,252.80829485521093,241.0172756126888,251.5871875553356,3774700
2025-02-04,245.1495056152344,245.462116247948,241.27126752644105,243.2641230447521,2185700
2025-02-05,246.5757751464844,246.94698165467264,242.75614767601047,244.7001559954254,1535000
2025-02-06,252.7887420654297,253.69726856820188,247.1423579198908,247.62102244912816,2539700
2025-02-07,250.1609344482422,253.25767594651512,248.97891082691828,252.95484369487173,1392900
2025-02-10,252.26126098632807,252.76923093059168,248.20717548861447,251.17690211651777,1216300
2025-02-11,255.22122192382807,256.0515510960692,251.0792054006463,252.62270183047576,1414800
2025-02-12,256.5790710449219,257.3801246234001,251.9291145170785,252.0951684222562,1952700
2025-02-13,257.0381774902344,258.9528652405337,255.9831539823271,256.1980700429251,1303500
2025-02-14,261.5806884765625,262.2742988289588,258.2788396594197,258.2788396594197,1265000
2025-02-18,261.26812744140625,263.21212070531146,259.32410436531137,262.7334561879936,927600
2025-02-19,260.7015380859375,262.3329506733411,258.239796324615,260.1740113470141,957200
2025-02-20,262.2547302246094,262.6357299626159,258.96263014099543,260.33026417707134,707100
2025-02-21,248.31460571289065,261.87378548654465,238.7997325847316,261.87378548654465,4331300
2025-02-24,247.6796417236328,250.00463490926504,245.804022605596,248.6174587356991,1451600
2025-02-25,250.5517120361328,250.7568497323628,247.69919202619587,248.78353599598603,1330300
2025-02-26,250.20001220703125,252.89622683383124,247.4061179337838,250.92289823390703,1096200
2025-02-27,252.56407165527344,255.5142561390596,249.62363575753,251.23549141982312,1174400
2025-02-28,256.82330322265625,258.34724287772934,252.2124004730988,253.73634012817183,1963300
2025-03-03,252.7887420654297,258.87475167686296,251.20619174965745,257.52664442648205,1225400
2025-03-04,242.0137176513672,249.8385683253932,241.1247479070377,249.49665229877544,2334500
2025-03-05,244.6219787597656,246.4292085609165,241.7890009728971,242.3555965302708,1370600
2025-03-06,244.01629638671875,244.1042274369769,239.3370199832782,242.7658837605181,1902700
2025-03-07,248.0508575439453,248.07039943499075,242.1211680828065,243.87955071841705,1569300
2025-03-10,242.12803649902344,247.74635906282708,238.8081295204479,246.459648001414,1657900
2025-03-11,238.64117431640625,242.7173983429774,237.4821420830059,241.4798013704943,1966000
2025-03-12,239.181381225586,239.9475148118657,235.2426680454782,239.19121305845496,1703100
2025-03-13,236.69635009765625,241.83339272933657,235.4391044981851,239.41711494399527,1565400
2025-03-14,237.8946685791016,238.6018711139237,235.42929154003124,237.69822676110653,1431800
2025-03-17,240.9395751953125,242.40307951512176,237.38391375487467,238.9456614674452,1269700
2025-03-18,241.43067932128903,242.7861383458936,239.2599575328064,240.91991860854904,1587600
2025-03-19,242.7272186279297,244.7898952655134,240.64490829907223,241.4503392678118,1491400
2025-03-20,241.83338928222656,245.75245363895385,238.6902603408013,240.53684634575623,3180100
2025-03-21,226.2356719970703,227.7482904713878,213.3587138310196,215.9026705770557,9418200
2025-03-24,238.01255798339844,240.055570981387,230.56729729176155,230.8226701696224,3999000
2025-03-25,236.7847595214844,240.7824036214864,235.25247741009903,237.9339598643611,2668900
2025-03-26,239.33853149414065,240.77258519584527,235.7337710437689,237.6982191358004,2190900
2025-03-27,239.58409118652344,240.5663152476297,237.97324432581124,239.34835201634004,1674200
2025-03-28,237.41339111328125,240.41899442719,236.3624041441752,238.77868199729696,1679800
2025-03-31,239.4465789794922,241.07707450814863,234.997105208406,235.54714828131424,2080700
2025-04-01,237.6785888671875,240.0948668020549,234.97747253143584,239.6626857903265,1369600
2025-04-02,240.8118591308593,241.35208533476128,236.05789851162064,236.27398899318143,990900
2025-04-03,212.0228881835937,228.7501628835849,209.87181507397105,226.0883290614483,5066500
2025-04-04,206.38491821289065,210.1959524267372,200.2754832564366,208.23150427321627,3618500
2025-04-07,201.5818328857422,211.90501700262143,196.0519218046883,200.0888631555817,3023800
2025-04-08,194.54913330078125,207.59306805723608,192.054275711453,205.0883936224956,2407600
2025-04-09,214.06591796875,217.26796306768284,190.84614136309304,190.88542373169312,3529100
2025-04-10,202.7310333251953,209.69501307222657,197.8100963418648,208.67349169037607,2807500
2025-04-11,204.07669067382807,205.28482203281848,196.297478163722,201.14965227677448,2198000
2025-04-14,206.70904541015625,210.3727368684801,205.57949376360403,207.9957564995042,1507200
