,Close,High,Low,Open,Volume
2025-01-10,191.2908172607422,195.7533510707436,189.5675704988791,193.54201039861903,26665200
2025-01-13,190.26483154296875,190.43416651970912,186.62907690279675,189.32851141262705,21823700
2025-01-14,188.92010498046875,191.2310463286281,187.57536549994643,190.4939429327445,17174900
2025-01-15,194.78713989257807,195.5939775570945,191.11153257710336,192.336729949174,21776000
2025-01-16,192.1574249267578,194.71739096273467,192.0578089661352,193.3826222062561,17815400
2025-01-17,195.23538208007807,196.46057945672584,192.99415958170988,195.76331327486383,27735100
2025-01-21,197.2773895263672,201.5008391207416,197.0980838213489,198.29341465676947,29971300
2025-01-22,197.5961303710937,199.6978996202174,196.7594109579838,198.28344103159927,26200600
2025-01-23,197.2076568603516,199.51861361447573,194.4385031217372,197.36703633289733,26951400
2025-01-24,199.428939819336,200.116235197708,197.2275548677334,197.3271708236336,23877500
2025-01-27,191.0617218017578,196.1119503677472,189.98593319836488,191.65938720339696,41728900
2025-01-28,194.53810119628903,194.7173916869628,189.93611434526247,191.99804618358004,24157900
2025-01-29,194.64767456054688,196.0222806001553,192.6753879484473,194.7970833042233,18218300
2025-01-30,200.0863647460937,200.6142959037936,196.8988515677376,197.22756600165167,24354700
2025-01-31,203.2240753173828,204.67837101004093,201.0127348319746,201.2119515461285,32001100
2025-02-03,200.4449615478516,202.9551348332388,199.31938021531727,199.9070748720424,27838300
2025-02-04,205.5748748779297,206.2422592489475,202.0187948719897,202.5965339989741,43856400
2025-02-05,190.5835876464844,191.998046136523,187.29645852491728,190.32460742693195,70373900
2025-02-06,190.8525390625,191.3505884700752,187.98376961110344,188.7607254709797,29297400
2025-02-07,184.6169586181641,190.4341722986748,182.5251601367796,190.3046897826863,49315000
2025-02-10,185.7425537109375,187.46580046504565,185.134932804678,186.61912556239704,23105600
2025-02-11,184.59706115722656,186.21073656140828,183.56110975757488,184.30818395569807,21239500
2025-02-12,182.89370727539065,184.3878555244028,181.12065256917043,182.5052293386179,22072600
2025-02-13,185.4138336181641,185.5532868448968,182.42553716023767,183.6009416706382,21402500
2025-02-14,184.5073699951172,185.6728037263188,183.60093167035657,184.33803502896936,20448400
2025-02-18,183.05308532714844,185.23454418579348,181.0310059283272,184.87594800082087,29916700
2025-02-19,184.5472412109375,184.7365024274121,182.8737872119756,183.3519256112576,19549400
2025-02-20,183.83999633789065,184.587070455128,182.00717815142443,184.07906552714084,20441500
2025-02-21,178.95912170410156,184.61695583425816,178.38138255149903,184.42769462228776,35199200
2025-02-24,178.5507049560547,182.4056023415516,178.19210879001352,181.280021064216,29854200
2025-02-25,174.73565673828125,178.04271218366185,174.0085088406691,177.3454308360551,41913400
2025-02-26,172.05613708496094,175.39307405965482,170.9106295738481,174.38701976901885,35431300
2025-02-27,167.8426513671875,173.87900779159736,167.28483845921406,173.31123936714644,39991000
2025-02-28,169.61570739746094,169.94442183496423,166.11940597917263,168.02194319125016,48130600
2025-03-03,166.35845947265625,172.69364861452485,165.28267091657344,171.2592638730811,40770500
2025-03-04,170.2532196044922,172.6139690982364,165.15319817693037,165.5914841182232,45388000
2025-03-05,172.34503173828125,173.10206141211768,168.4004735026306,169.85478454890304,30954900
2025-03-06,171.67764282226562,174.12803748089462,169.83485387065045,169.8647356201999,28302000
2025-03-07,173.18174743652344,174.28741777289434,169.60575619699736,170.5918843353401,27385800
2025-03-10,165.41319274902344,167.99607150995365,163.23920372577845,167.7966101322015,43604000
2025-03-11,163.58822631835938,166.29076966008637,160.92558133782,164.45584068137828,39587400
2025-03-12,166.64979553222656,167.17833474519742,163.07965268636923,166.1212563192557,28372400
2025-03-13,162.311767578125,165.67249723739275,161.6635637085375,165.58273352485466,31756200
2025-03-14,165.0342559814453,166.0315020416508,162.00261943703092,162.8203685104477,31995900
2025-03-17,163.83753967285156,165.8420138841619,163.21925201833648,164.57550719551887,31184300
2025-03-18,160.22750854492188,163.79765095180105,156.28838999765335,163.2292134435371,42074800
2025-03-19,163.4386444091797,165.41318720526314,160.5566041117451,161.31450558479577,34275600
2025-03-20,162.35165405273438,164.4358945690741,160.51672503978745,161.1250457167365,28138500
2025-03-21,163.5383758544922,163.7876873527184,160.44690718978086,160.76603321155818,36625800
2025-03-24,167.2182159423828,167.85646804378672,164.68521758619846,166.60991043967152,30879100
2025-03-25,170.09027099609375,170.16008551836464,167.85644975168057,168.51462053018605,24174400
2025-03-26,164.6054229736328,169.14289533485737,164.38602763542738,168.5345746637908,28901600
2025-03-27,161.793212890625,164.96444818748884,161.55386834836875,164.1766304631432,24508300
2025-03-28,153.90499877929688,161.37437785404254,153.2069295238927,160.0480386603904,48669300
2025-03-31,154.21412658691406,155.11164193370462,150.24509161947617,152.68834136730996,54603500
2025-04-01,156.63743591308594,157.6645980717382,153.1969250530925,153.1969250530925,30672900
2025-04-02,156.60751342773438,157.973750867397,154.27396131633463,154.72271899671657,25041700
2025-04-03,150.304931640625,152.35925614776784,149.97583860548548,150.6938570063776,46883400
2025-04-04,145.1990203857422,150.6539570990706,144.97962505338862,147.60237162636182,62259500
2025-04-07,146.34585571289062,152.42906261628312,140.14298415460087,141.1601793715283,76794100
2025-04-08,144.301513671875,151.820758102269,142.6361144411185,150.8035627769606,52200200
2025-04-09,158.27291870117188,159.11060168568548,143.51367491882445,144.02226489868636,70406200
2025-04-10,152.39913940429688,157.28563866565491,149.5170838868327,156.10888048544342,48022000
2025-04-11,156.70724487304688,157.2357840662013,152.39914981719627,152.47891611104427,33636200
2025-04-14,158.63194274902344,161.27463879929493,157.126091415259,159.559374308141,30333000
2025-04-15,155.87953186035156,159.2103301054895,154.78257030571797,158.6917731015249,27551500
2025-04-16,152.90773010253906,155.46067741277207,151.09273508921532,152.67836778458886,28187400
2025-04-17,150.74371337890625,154.25400844452392,148.09103529003713,153.86508310192784,33046600
2025-04-21,147.2633056640625,148.5397792458497,145.69763745597456,148.46997994299036,26049100
