,Close,High,Low,Open,Volume
2025-01-10,185.6722106933593,186.0435058830585,182.73107210359885,183.7081913885092,370200
2025-01-13,190.675048828125,191.39812243673148,184.7146154711625,186.1900750729461,464000
2025-01-14,192.9126434326172,193.0299078793976,188.7208084742118,190.66528111957192,429500
2025-01-15,194.1535797119141,195.8635382912509,192.1895755111232,195.7853669670368,346300
2025-01-16,196.42051696777344,197.69077498219403,192.1504956815315,193.65526768481112,411100
2025-01-17,197.91549682617188,199.4007221840068,195.9905708105253,197.8666378842693,640700
2025-01-21,203.8368530273437,204.45244294311303,199.8208922013844,200.1042502315432,549100
2025-01-22,200.4755401611328,202.928103932884,200.17263560119545,202.7619954616169,590100
2025-01-23,199.4691162109375,202.4297862434329,195.29681298280343,201.609009680092,482200
2025-01-24,198.0816345214844,199.5277669752652,197.2217647280513,199.0489880390965,337900
2025-01-27,198.345443725586,201.87284484649447,197.0263267622482,198.69720725516555,414300
2025-01-28,191.29063415527344,198.55062281390968,189.3559273618773,198.55062281390968,495100
2025-01-29,188.47653198242188,192.53157091566152,187.54827167465507,190.84115878386248,559700
2025-01-30,191.0268096923828,191.3297142684984,186.51252361549936,188.84783798159287,469300
2025-01-31,192.74655151367188,193.6845926202352,189.78588116964087,191.6424168216819,388500
2025-02-03,192.0625762939453,193.37191263947008,187.2258385124282,190.5871314487338,549600
2025-02-04,191.2808532714844,193.02012429151,190.3037340508113,191.17336956082409,395500
2025-02-05,191.1049652099609,193.3425615039598,189.6783646902365,192.8442361047692,645700
2025-02-06,156.0948028564453,170.9958716737273,155.2447138655004,167.27304965311862,2389500
2025-02-07,164.6348419189453,166.07120853239962,158.25425386202306,158.31287863650564,1683000
2025-02-10,164.41986083984375,169.04163073078507,163.6674748405,165.36766770781202,801300
2025-02-11,163.93128967285156,164.36122449935243,161.7620838916194,163.66746331847048,567300
2025-02-12,159.74923706054688,164.07786833072845,159.13364714072193,162.4167685303599,721300
2025-02-13,157.14031982421875,161.93796385414018,157.01328955476552,161.22467099957305,787100
2025-02-14,157.58001708984375,159.65150501659045,155.7625747868651,158.27376337037236,848000
2025-02-18,165.82691955566406,167.53687829552604,160.92177659575603,161.22468118698646,1212100
2025-02-19,169.79400634765625,170.5268457424293,166.9310393590552,167.0873820082575,1098800
2025-02-20,173.8197479248047,175.7739864825785,169.80378709219326,170.3509715028248,903800
2025-02-21,166.3936309814453,174.21058500301766,166.3056938270202,173.46797973844463,830200
2025-02-24,164.947509765625,168.77781570487429,164.89865081776992,167.74207161283974,820600
2025-02-25,171.4648895263672,171.8850585757843,164.96705218551088,165.13316067632226,1143000
2025-02-26,169.22727966308594,172.59833798150416,168.14267673528292,171.76778068277304,727900
2025-02-27,170.29232788085938,171.85572451787857,168.6312282725611,169.64742564986483,769500
2025-02-28,172.90191650390625,173.06932172606295,168.94322852228072,170.51883006477294,2520900
2025-03-03,170.04615783691406,176.23038475162932,168.25392555091284,175.90541633704663,1292300
2025-03-04,169.67196655273438,172.97086106516028,165.14212286199674,167.4562850786663,921700
2025-03-05,190.63722229003903,192.27190638075768,178.24909970704132,183.6553676825163,1782600
2025-03-06,190.97203063964844,192.4393094796445,184.53179011269447,188.98285197528563,1177900
2025-03-07,192.9809112548828,194.82238372265408,187.5845007706968,188.9828400007645,929100
2025-03-10,194.0247497558593,201.15432526591013,190.20392561180364,190.39102999375183,1039600
2025-03-11,192.03553771972656,193.89670924582683,187.4466273868875,193.89670924582683,946900
2025-03-12,188.8055877685547,192.8627566935163,185.1423267628397,191.4053199313797,498700
2025-03-13,192.5279235839844,195.1178135810705,188.64803215884152,188.64803215884152,755100
2025-03-14,193.1680145263672,195.15719305334247,191.85829894610137,193.404344237901,790800
2025-03-17,203.970703125,205.61522923279367,193.6111578261628,193.6111578261628,1200800
2025-03-18,205.38873291015625,206.7969142086924,201.32172212238265,203.29121654341785,681700
2025-03-19,204.26611328125,208.0278549597724,203.5571090906789,204.91605006749475,518800
2025-03-20,198.6333770751953,203.26168620711044,197.717554306856,203.123822191302,651200
2025-03-21,198.39703369140625,200.41576860014104,195.9745487957143,198.44627406011705,1446100
2025-03-24,202.74961853027344,203.57680264596155,198.1705496513811,199.20452228296568,525500
