,Close,High,Low,Open,Volume
2025-01-10,201.2517242431641,202.9212222878315,199.49000144269056,202.89353694177188,3803791
2025-01-13,202.0910797119141,211.1948696633326,200.5415067042659,200.7720984589552,5721230
2025-01-14,201.5376434326172,203.3916057984657,197.9404152795084,203.2348117778025,4267024
2025-01-15,202.4969177246093,203.41007120639884,199.4069852964836,202.7182959582855,4931316
2025-01-16,205.40240478515625,207.099558426182,202.8474384079184,202.9212361369176,4893014
2025-01-17,205.3009185791016,209.257892131541,205.0334429001174,209.23022171879217,3553395
2025-01-21,207.59762573242188,210.0511237870196,205.8635733530246,206.02959583204824,4940653
2025-01-22,205.7713317871093,207.1087699212683,205.35626066057324,206.61068755597788,3153823
2025-01-23,208.14181518554688,208.5199874444356,205.4577254452132,206.1033883131236,3221833
2025-01-24,204.31398010253903,209.51615203817616,204.1018452513375,207.53305105906333,6719207
2025-01-27,208.18795776367188,208.3355382852399,203.0134558580011,203.1518228632474,3300347
2025-01-28,203.56686401367188,207.2747888783075,203.0780101052453,207.2747888783075,3818751
2025-01-29,203.88970947265625,205.50385181961497,203.52076563704736,203.79746978056264,2033194
2025-01-30,206.66603088378903,207.2563529435413,204.3785553013962,204.8120683975378,1924017
2025-01-31,206.35243225097656,208.4093161221482,205.2732562457661,205.5499753169108,2632978
2025-02-03,205.1441345214844,205.96503342810752,202.60761020999087,205.22714576376544,3417057
2025-02-04,206.19561767578125,208.1787187003688,205.78977499535293,207.13644158621264,3652917
2025-02-05,205.0888061523437,206.80440179590505,202.2294502142092,206.1956377160964,4877311
2025-02-06,193.5315093994141,198.53074546869945,190.17408611067523,198.3093821512936,12928603
2025-02-07,189.5653076171875,196.83357686737247,189.4361690700259,195.5422511268145,7105093
2025-02-10,192.33241271972656,192.922734777498,189.15946899111697,190.51534910149817,7032520
2025-02-11,190.8750915527344,193.08876954472737,189.8051439545052,190.5338031916853,3264909
2025-02-12,189.0948944091797,190.2755235588233,188.39389071844104,189.6298756256164,3621193
2025-02-13,189.334716796875,191.20712121055072,188.7259527846226,190.47844709899283,3588408
2025-02-14,187.0103302001953,189.21479435528863,185.8942703835809,188.9196333505228,5677835
2025-02-18,191.8896942138672,192.2125107367829,187.03802379514912,188.55071293250523,5196672
2025-02-19,194.44464111328125,195.26555494079315,191.7789932188375,191.78822166765696,5373541
2025-02-20,194.9427032470703,195.08105530116885,192.65522786584145,193.319332658278,3857796
2025-02-21,195.4868927001953,196.00341697680528,193.14407656022385,194.7674471054341,6601648
2025-02-24,193.614501953125,198.4846139280492,193.4392510328411,195.32088384744685,7153474
2025-02-25,195.54226684570312,197.22097849716204,194.63835667396808,194.75825184955883,4030102
2025-02-26,194.9242706298828,196.197139454145,193.46692243613523,194.4630871389336,3317429
2025-02-27,195.7913055419922,198.2079047533784,195.1917550307388,195.34856399508928,2923479
2025-02-28,197.41409301757807,198.2301224719785,195.28128603218,197.50682636697528,4219173
2025-03-03,196.6073303222656,200.35364032785424,195.68928973145864,198.1837521351269,5658844
2025-03-04,192.8795623779297,197.08024628390484,192.72191419042807,196.310591048342,7386470
2025-03-05,194.3817749023437,195.13288940979388,191.7574980323343,192.8795458874435,5618844
2025-03-06,195.902572631836,196.3476836710449,192.7868253827392,193.75122512801715,5349986
2025-03-07,198.92559814453125,199.7045312490829,195.46675083561348,195.89330622348336,6029345
2025-03-10,198.2764892578125,202.5884625626248,198.05394122085664,198.7123225053075,4431903
2025-03-11,193.4266662597656,198.21156865445343,191.87806296437765,197.97046496455656,5563354
2025-03-12,191.34950256347656,192.6848207135491,189.84727339781583,192.0357173153672,4045063
2025-03-13,191.664779663086,192.7868125052496,190.19963197315008,190.70964280703845,3746391
2025-03-14,194.24270629882807,195.80057250498777,192.7775584283073,193.3154028409688,4121348
2025-03-17,195.12364196777344,195.76348252644124,192.62917956264528,193.28757579776808,4684421
2025-03-18,194.4930725097656,196.13440923560967,193.6492245629717,195.1143724310961,4043471
2025-03-19,193.4822998046875,196.70005818289457,193.1670184534412,195.00308457118672,6799206
2025-03-20,195.5594940185547,196.2827901529181,192.230461219974,192.49938344033663,3801457
2025-03-21,194.84542846679688,196.0787503331104,193.6028437755793,193.92740295159248,6944351
2025-03-24,196.44967651367188,197.2193467343142,195.1978139348956,196.2549470053636,4507340
2025-03-25,196.7000732421875,197.52536551631687,194.9845438232124,195.7449362646774,4042728
2025-03-26,197.6273651123047,201.3736750805401,197.1544355706251,197.2657095774478,5570993
2025-03-27,198.60104370117188,199.56544352588267,196.8391700881294,197.60882537251192,3802942
2025-03-28,195.0494537353516,199.27797122446188,194.70635386530785,198.6937676564702,3451857
2025-03-31,196.35696411132807,196.9968047195412,194.51163497288755,195.5038533088336,4210366
2025-04-01,197.93338012695312,198.1002911468813,194.437436471026,195.76349182983483,2720192
2025-04-02,200.28872680664065,200.67820084965524,196.89479447890847,197.0431648280245,3632758
2025-04-03,191.6555328369141,200.56694222979164,191.33097361161347,198.06321679196944,6907853
2025-04-04,177.10609436035156,189.75453512961533,176.84645000527692,188.47485401793207,8960463
2025-04-07,173.8327178955078,181.9651943351262,170.058588990003,176.93918767034023,9922684
2025-04-08,169.56710815429688,177.27301368776915,167.68466772584355,174.556003151188,7376072
2025-04-09,184.6265563964844,185.257134207262,166.32154445889608,167.37867769042032,9698919
2025-04-10,179.33163452148438,185.04384083542288,175.0752982902296,182.66994510148407,6176399
2025-04-11,184.1165313720703,184.914005141696,177.67175130639183,178.765980798988,5414177
2025-04-14,185.6929626464844,186.72226233317616,183.7919814495044,184.5523739282964,4766118
2025-04-15,184.35763549804688,187.6495567839841,183.9681614383182,186.2307830872389,3203690
2025-04-16,179.22962951660156,184.15362461881296,178.51559625618313,183.1428506530956,4380763
2025-04-17,182.3082733154297,183.9125136153513,180.80604419695248,181.0564107124709,3411752
2025-04-21,180.1105499267578,181.5664198661669,178.15394696104272,180.80604248865976,5250359
2025-04-22,183.9496307373047,185.13657863277697,181.20480153121864,181.6220941169104,4611849
2025-04-23,182.9666748046875,186.64808535443936,182.51230088861703,185.11802255201863,4411320
2025-04-24,186.1473388671875,186.94482769969235,181.9744580212595,182.98523206758549,3437322
2025-04-25,184.68218994140625,185.9989675364146,183.4117865296928,184.71928628550523,3860979
2025-04-28,186.0731506347656,187.0560911075939,183.5972437752594,185.062376645784,6037727
2025-04-29,196.1158599853516,196.98752639716795,191.8224277557327,192.3695349695012,9278021
2025-04-30,195.19781494140625,196.2734886806511,190.83020514376184,195.772740644022,5338952
2025-05-01,195.4203948974609,196.1529538335289,194.5208949135801,195.1050985048201,3810688
2025-05-02,198.5639495849609,199.31506415590584,196.6073315575821,196.75570190665167,4645589
2025-05-05,198.6752319335937,199.87145760196256,197.02461736066152,197.5810024398575,6668491
2025-05-06,194.66925048828125,197.78499773406284,194.26123578927792,197.2657090285464,5442081
2025-05-07,199.00906372070312,201.01204109630152,197.6366491264918,198.3506824346279,4598374
2025-05-08,198.9441375732422,200.91003350606053,198.23939715694047,200.0198263939151,4139598
2025-05-09,197.5439300537109,199.25944453694467,197.2100929860064,198.94414813473523,2540034
2025-05-12,203.39520263671875,203.50647664065235,200.7894663187544,202.1526028923064,4278483
2025-05-13,202.35662841796875,204.35034288074243,202.2082580618326,203.78467995968063,4093550
2025-05-14,201.3922271728516,202.338086309887,200.13110167371624,200.64111257149045,3432335
2025-05-15,206.1307678222656,206.77060840164577,201.8744317898033,201.8744317898033,4385007
2025-05-16,207.7338714599609,207.83638877053744,205.62745307797087,207.19327900062703,3072656
2025-05-19,209.65386962890625,209.80299805868603,205.6274472930185,206.55016341980533,3623527
2025-05-20,209.7657165527344,209.95213086619324,208.08804808916105,208.08804808916105,3536950
2025-05-21,206.79249572753903,209.67250170163933,206.4569529935044,209.17852038742905,3831695
2025-05-22,208.4329071044922,209.73776206882425,206.15872484263224,206.34512407217133,3093346
2025-05-23,206.941650390625,207.8457312225017,205.81386934456864,205.81386934456864,2691969
2025-05-27,211.07058715820312,211.350193539784,207.22123870917963,209.16921849528617,3279339
2025-05-28,209.3463134765625,212.4034087221669,208.94552419913023,211.07059311669136,2740245
2025-05-29,209.88690185546875,210.55797231475395,208.0694149604992,210.2131193865389,7151246
2025-05-30,211.2663116455078,211.5925291503094,208.5633795394856,211.2476762498637,8805876
2025-06-02,210.1944732666016,210.58592221240423,207.87367987321275,209.70980207165965,2685815
2025-06-03,211.3595123291016,211.77893697805607,209.7004793071341,209.70978945997643,2980455
2025-06-04,211.9933013916016,213.2235996382205,210.8189244207935,212.02126202950703,1944495
2025-06-05,211.2663116455078,212.43136338452115,210.75369491609763,212.01195381210988,3447826
2025-06-06,213.23292541503903,214.8080765629028,212.64573692816347,213.2049647770636,2350858
2025-06-09,211.695053100586,213.1583617521391,211.13582523044064,213.1490515987196,2717327
2025-06-10,210.88417053222656,212.14242941432377,210.3901892039234,211.68573396628565,2827671
2025-06-11,210.4740753173828,211.38748132107463,206.58745604212947,210.56728247521085,2645816
2025-06-12,210.68844604492188,211.30359516697948,208.5633772108744,209.7377541792924,1696327
2025-06-13,209.04806518554688,210.7630196533169,208.3210734536728,209.6166032306195,2649317
