,Close,High,Low,Open,Volume
2025-01-10,202.9457244873047,204.4725980227528,201.94094096258945,202.96541522013305,511100
2025-01-13,206.89588928222656,207.4475304456533,201.271103457542,202.0296025417066,381600
2025-01-14,211.3385772705078,212.15619361988965,207.07320377176552,207.74304943761445,654700
2025-01-15,211.3287353515625,216.41174031370227,211.19082506333828,215.28875224356383,465700
2025-01-16,214.02786254882807,214.5105410616042,211.0726290834608,212.21530793310416,400300
2025-01-17,213.1483459472656,219.05787436151343,212.9309371857632,217.40755518391336,476300
2025-01-21,217.0715484619141,217.4668288636149,214.46265860533825,215.03582574309104,350100
2025-01-22,217.397689819336,218.3167236582165,215.1742033432256,215.81653784917543,342400
2025-01-23,219.4333953857422,220.5698379072928,216.2216929529463,217.58542096301068,375800
2025-01-24,217.3779144287109,219.5322184642677,215.7868857749627,218.9788198158305,278600
2025-01-27,218.8108367919922,219.4037725641729,217.1209954755484,217.1209954755484,346600
2025-01-28,218.5637664794922,219.6804555664951,217.2000233522838,218.3760029962989,334800
2025-01-29,216.30075073242188,219.3839802238068,216.1722778106204,218.12894152023145,322800
2025-01-30,221.4691162109375,222.9613171301359,216.9134392749423,217.9905912314296,365000
2025-01-31,221.6667633056641,223.386264843722,220.8663106327864,221.4691230904692,384900
2025-02-03,216.280990600586,218.4946002399042,214.630671413556,217.89178777574503,565400
2025-02-04,216.073471069336,217.9510909399215,215.5003189296548,215.83630882642868,602500
2025-02-05,195.25173950195312,205.70706768447664,193.5025927769753,205.70706768447664,1477100
2025-02-06,196.97125244140625,199.7481374410801,195.09363268818404,195.706321882708,1012400
2025-02-07,193.63107299804688,197.95946451906508,191.2000546574661,197.95946451906508,856100
2025-02-10,194.1350555419922,194.87621763880227,192.5045049606026,194.87621763880227,658600
2025-02-11,192.5934600830078,194.5600158052765,191.6348891354732,192.8701594205453,675600
2025-02-12,191.2593536376953,191.9214717505528,188.4824685729863,189.7473840823272,738200
2025-02-13,190.75537109375,193.3247392347569,189.90550456209223,192.0795771773384,673900
2025-02-14,192.90968322753903,195.65692294600893,191.4075904422305,191.76334886298824,644000
2025-02-18,194.05601501464844,194.82682246278384,192.52429193116328,193.4433257812544,512600
2025-02-19,196.3091278076172,196.65500948403093,192.1487463527123,193.27531213554192,418000
2025-02-20,193.75955200195312,197.61358903956904,192.8602716668487,196.26961444304465,388700
2025-02-21,190.7059631347656,193.8583753093909,188.1366099937012,193.8583753093909,377300
2025-02-24,194.3030548095703,194.82680816334977,189.97467832133603,191.5360616495965,597000
2025-02-25,194.12518310546875,196.141137418657,192.6428588790421,194.35246859807265,478300
2025-02-26,193.49273681640625,194.63907123826664,192.8701557792095,194.63907123826664,332600
2025-02-27,191.4570159912109,197.09972216612712,190.86408022730816,193.5322610069049,371400
2025-02-28,192.04005432128903,193.29509310672427,189.3619818073261,192.4946253251906,687500
2025-03-03,186.3083953857422,195.70632583801984,185.8933463992265,193.70024819703625,617400
2025-03-04,183.68963623046875,186.45662958978377,181.08074600669823,184.03550286089168,779000
2025-03-05,186.2095642089844,186.87168230717512,183.1263346081358,184.49007773727203,1013900
2025-03-06,185.2707672119141,186.2293381232199,184.0651422529311,185.14230936083,651200
2025-03-07,185.4486389160156,186.2886135625548,181.78235051129644,184.11454113524363,825800
2025-03-10,184.03550720214844,186.65428930046625,182.6717790368833,183.93669462497508,697800
2025-03-11,182.58282470703125,185.2114834903103,178.95607296272507,184.1738534359651,878800
2025-03-12,179.75650024414062,183.442557106551,179.2821607443622,182.9682025277917,494300
2025-03-13,176.1297607421875,182.0195356493249,175.61589919945033,179.38100033006629,559000
2025-03-14,180.24075317382807,180.5569895975977,176.24836633712354,178.76830559874318,554600
2025-03-17,182.41482543945312,183.38328817603912,179.90476291656768,179.90476291656768,378000
2025-03-18,182.4444580078125,182.5828076635452,180.3988584495519,182.13811341861737,511200
2025-03-19,182.40493774414065,183.61056264663583,180.8435544264996,182.84963199332748,519900
2025-03-20,181.56495666503903,183.9959751311873,180.4976813686068,180.9522674515063,653200
2025-03-21,179.76641845703125,180.2111127458201,176.91047414851974,180.2111127458201,1170500
2025-03-24,182.9188232421875,183.6204482945512,180.9226223114533,181.54520333793067,561800
2025-03-25,182.1974029541016,183.8576138925812,180.448271261912,183.41291965014287,425300
2025-03-26,182.5630645751953,185.448654043776,181.3277943363004,182.05906466717744,492000
2025-03-27,181.76258850097656,184.26278922309,180.1616831696857,182.5630562456037,319700
2025-03-28,178.7781982421875,183.9663333467808,177.77021348546566,182.83976747008552,370500
2025-03-31,178.8374786376953,179.3513552600109,174.31144684183462,177.4045682298552,760300
