,Close,High,Low,Open,Volume
2025-01-10,619.2277221679688,629.3490382336197,613.1290946885442,614.6686953114937,2390000
2025-01-13,609.0866088867188,617.8074570747316,608.1728270502624,616.1983814094211,1684400
2025-01-14,619.59521484375,619.783936558735,610.1195417896837,610.8545440616011,1697300
2025-01-15,617.2611083984375,623.2703160539695,606.4941490928734,619.5952438983043,1938100
2025-01-16,603.1766357421875,619.545530725527,602.6601214712842,619.1184364721803,2834100
2025-01-17,600.0578002929688,611.7186558349254,592.1812606029865,611.7186558349254,2836700
2025-01-21,605.3021850585938,606.9410873202002,598.6175686875881,601.9052548808697,1665900
2025-01-22,607.5570068359375,613.3774933696288,605.5704876948481,605.5704876948481,1213700
2025-01-23,594.2671508789062,604.6963757018018,593.4626131032328,604.6963757018018,2241400
2025-01-24,593.9194946289062,598.4686398414829,591.4264037332119,597.9322409443644,1901200
2025-01-27,602.5311279296875,610.2487743473519,582.0501200238015,583.003671055218,1985500
2025-01-28,596.6112060546875,609.5732906258644,596.1444032035938,604.5175732535313,1675000
2025-01-29,588.992919921875,599.4717951434699,586.2118055471207,595.6080619021354,1457500
2025-01-30,600.524658203125,601.577510828456,589.6981662301464,591.3271263293368,1219700
2025-01-31,597.4555053710938,606.7822262172026,595.8166030183922,600.8027848895541,1640100
2025-02-03,596.7105712890625,597.7733662010726,581.0667345738503,596.3530124281284,2244500
2025-02-04,587.7315063476562,604.3785459502698,586.1423153319718,592.3204211997293,1737500
2025-02-05,584.2948608398438,589.5889511095954,576.1898291254349,589.4200533403886,2134400
2025-02-06,586.2216796875,591.1482072575226,581.8513143040223,584.2947541262039,1533900
2025-02-07,574.9481811523438,592.1613835802419,573.3291634756239,586.6090974670066,1430900
2025-02-10,582.8843994140625,584.8311491271851,571.1241809100919,571.1241809100919,1571300
2025-02-11,581.9308471679688,587.9897055192424,577.173156261747,577.173156261747,1856700
2025-02-12,572.6537475585938,577.0538793866124,564.8765701748544,574.1734635264747,1737800
2025-02-13,579.9642333984375,588.0096109199719,575.0972377072022,576.6467200677847,1609900
2025-02-14,583.4207763671875,587.4037567057295,576.1799363572161,580.7489058578943,1348800
2025-02-18,576.0308837890625,586.0627799137023,572.1770323003851,585.8840004888146,2053900
2025-02-19,578.2657470703125,578.9510985459251,571.7102586612993,574.8389896922495,2063000
2025-02-20,575.1766967773438,582.1493368618501,569.5250481064912,579.0901414182613,2703900
2025-02-21,561.658447265625,578.2260698680122,557.4669210742758,576.6368182176475,2006400
2025-02-24,563.4165649414062,568.8894350288261,559.5031196984489,562.1452241797057,2040900
2025-02-25,551.884765625,567.5683108732132,549.510860935725,563.4860289904203,3014500
2025-02-26,621.2937622070312,634.6828809248038,611.2916317243225,631.2164149547499,4674200
2025-02-27,596.3728637695312,623.7570359991081,595.5882105736157,620.787199735374,2451700
2025-02-28,609.7024536132812,610.7055948097666,594.3366972343375,596.8694968988061,2444400
2025-03-03,597.0383911132812,616.6254397339128,595.3597801007626,613.6953120273123,1597400
2025-03-04,594.0386962890625,604.7957132838161,583.3214484721591,600.2068593993777,2308200
2025-03-05,613.3477172851562,614.2317328384858,597.157598669285,604.8155910363531,1615200
2025-03-06,602.28271484375,615.67183254109,598.061362272386,608.8879142931468,1671000
2025-03-07,605.5009155273438,610.4870976686748,590.5226057610436,601.7761923636999,1689700
2025-03-10,575.8720092773438,602.2628602599648,571.5612364682019,599.8194807431852,2375900
2025-03-11,582.7553100585938,591.0986535844071,573.4881818378025,575.8720289158916,1909300
2025-03-12,587.1553344726562,593.24401901117,581.6427573197836,585.0396872513462,1874700
2025-03-13,577.401611328125,582.2288378774741,559.9202080108197,582.1295361784332,2269800
2025-03-14,594.7637329101562,597.4852540410112,582.874446665419,585.2482906224911,2063100
2025-03-17,598.0514526367188,601.2497796956714,587.9301360820756,591.4065442718622,1558800
2025-03-18,594.9922485351562,597.5051634661983,587.8109413535095,594.8631199543471,1230400
2025-03-19,599.044677734375,604.9346988544197,593.4824491994871,601.6967240503119,1247700
2025-03-20,596.3728637695312,601.4981168398465,592.0720936988646,595.0716962238358,1088200
2025-03-21,599.9684448242188,601.1703106403003,586.0429878985503,588.9929395056387,2391400
2025-03-24,608.9574584960938,610.1493213285269,601.2099863428073,605.8882601432155,1703000
2025-03-25,614.5494995117188,616.744624869742,601.1404960267012,607.3980794853759,1126500
2025-03-26,610.7155151367188,616.0890829239703,608.9376024751433,614.6091359844818,1715500
2025-03-27,611.1525268554688,616.4267321047997,608.1826908027069,611.3412485757318,1206200
2025-03-28,594.8829345703125,609.6526977853857,591.5356550638598,607.4476908992935,1574600
2025-03-31,609.8513793945312,613.8343596154602,589.7279325979529,596.2934238452344,3071400
2025-04-01,609.6428833007812,612.9603362898496,602.0643079898746,606.7524640249361,1826500
2025-04-02,616.7247314453125,620.78718948777,600.8822908685838,600.9815925694022,1604500
2025-04-03,594.49560546875,612.2649708882755,594.1678128768358,599.9287055403885,2833900
2025-04-04,557.7449951171875,590.204705915213,557.1589453808368,584.135844742475,3335200
2025-04-07,552.4906616210938,572.0082352943235,529.0597036667909,544.3161552315181,2834700
2025-04-08,540.4027099609375,564.777276560518,533.9266385431905,560.8241231024145,2764000
2025-04-09,592.4594116210938,594.5154660764239,535.4860608218347,537.8897318552825,2883800
2025-04-10,574.5792846679688,583.036735561443,555.8634457670066,580.161248412179,2289100
2025-04-11,584.1014404296875,585.5143760813918,566.6193830391118,570.4202686074609,1479900
2025-04-14,590.5789184570312,596.9966445316746,582.8876311201327,596.9966445316746,1227400
2025-04-15,591.1062622070312,597.5538061806877,588.3898863273153,595.9717384384517,1177800
2025-04-16,585.13623046875,595.0762132232886,578.171270779165,584.7083902325166,1985500
2025-04-17,582.4497680664062,590.9370378641618,581.9025333474511,589.0366254726111,1642900
2025-04-21,565.9926147460938,578.4598624156,556.3013187304501,575.5345765872274,1502600
2025-04-22,580.6388549804688,581.9124767989422,568.6093475100948,571.3058038500739,1467500
2025-04-23,593.0663452148438,605.6828657543737,590.8375676813743,594.0116019534937,1744800
2025-04-24,611.7523803710938,614.0109762020224,593.6832493458581,595.8324711053313,1601000
2025-04-25,620.995849609375,622.0804201382871,609.9115983189347,612.9761978262134,1540600
2025-04-28,615.1353149414062,625.4534011130205,611.4936624753914,620.1998627176641,1357300
2025-04-29,620.03076171875,621.065533993807,612.996144283383,615.5831053358436,843300
