,Close,High,Low,Open,Volume
2025-01-10,118.08999633789062,120.0,117.3000030517578,119.27999877929688,597400
2025-01-13,122.87000274658205,122.91999816894533,117.51000213623048,117.51000213623048,948500
2025-01-14,125.58000183105467,126.45999908447266,123.69000244140624,124.55999755859376,721300
2025-01-15,130.05999755859375,131.47000122070312,128.61000061035156,130.35000610351562,837800
2025-01-16,128.72000122070312,129.89999389648438,127.72000122070312,129.0800018310547,403800
2025-01-17,129.27000427246094,130.6300048828125,128.91000366210938,130.02999877929688,672200
2025-01-21,130.66000366210938,131.66000366210938,129.36000061035156,130.77999877929688,600700
2025-01-22,130.6199951171875,130.77000427246094,128.97000122070312,129.88999938964844,522900
2025-01-23,130.8300018310547,132.14999389648438,128.67999267578125,130.8699951171875,658400
2025-01-24,125.3000030517578,127.72000122070312,122.12999725341795,127.01000213623048,1777400
2025-01-27,127.97000122070312,129.92999267578125,125.58000183105467,126.45999908447266,895800
2025-01-28,124.38999938964844,127.66999816894533,123.8499984741211,127.66999816894533,851500
2025-01-29,125.94000244140624,127.31999969482422,124.75,124.91999816894533,923800
2025-01-30,126.48999786376952,128.05999755859375,124.80999755859376,127.06999969482422,497000
2025-01-31,122.3000030517578,126.37999725341795,119.1500015258789,125.26000213623048,918400
2025-02-03,119.04000091552734,121.44000244140624,117.1999969482422,119.63999938964844,1074300
2025-02-04,120.12000274658205,120.44000244140624,117.9800033569336,118.61000061035156,767300
2025-02-05,120.83999633789062,121.37000274658205,119.41999816894533,121.37000274658205,698000
2025-02-06,121.97000122070312,122.12999725341795,119.9000015258789,121.05999755859376,1127900
2025-02-07,120.33000183105467,128.67999267578125,118.9499969482422,125.0,1736700
2025-02-10,117.47000122070312,121.0199966430664,117.26000213623048,120.33000183105467,1353800
2025-02-11,119.3000030517578,119.68000030517578,116.61000061035156,116.9499969482422,872200
2025-02-12,116.75,117.54000091552734,114.8499984741211,116.54000091552734,863700
2025-02-13,119.69000244140624,119.83999633789062,116.31999969482422,117.9000015258789,655500
2025-02-14,121.01000213623048,123.6500015258789,120.47000122070312,120.72000122070312,779200
2025-02-18,119.44000244140624,120.16999816894533,118.30999755859376,120.16999816894533,488600
