,Close,High,Low,Open,Volume
2025-01-10,505.7880859375,509.75518898811794,502.54683121130654,508.8603340937141,356800
2025-01-13,510.2523193359375,510.35172068704463,503.1135364050059,503.1135364050059,475800
2025-01-14,514.7064819335938,517.0131633290571,510.7891105379098,512.8869763094277,285400
2025-01-15,528.2383422851562,529.3121559477007,524.3806234647013,526.6773528055501,320200
2025-01-16,528.1787109375,530.0379652092261,523.0781716875953,528.1091057201337,200700
2025-01-17,539.4436645507812,541.5117345270467,530.8334321911927,531.3902132596583,371400
2025-01-21,549.4657592773438,556.9027762118775,546.3835286558777,552.6473912446774,460100
2025-01-22,546.522705078125,551.2553739908939,537.8428684374732,545.9261756708762,366600
2025-01-23,545.6180419921875,551.4940699466664,543.3610608018109,548.4416958636713,327600
2025-01-24,545.4091796875,547.3777875481978,543.221803906401,545.6477914664231,293700
2025-01-27,542.9036254882812,545.0512528315529,538.5388869557916,541.2034862498214,318500
2025-01-28,539.055908203125,553.6317391936242,537.9323937564033,545.8367432880469,343300
2025-01-29,536.7393188476562,542.0883616243652,536.1129325575525,539.0061915338434,309300
2025-01-30,543.1919555664062,544.7230881237165,537.0673039680115,539.1950265998696,340800
2025-01-31,540.9946899414062,545.1407213899566,538.876919336592,542.4363735983084,391000
2025-02-03,532.8716430664062,537.2662386481124,524.7485865909869,532.9512005571559,395000
2025-02-04,534.2138671875,538.3400548694791,533.3389168389579,536.6796639354757,408900
2025-02-05,536.8585815429688,538.3698096506274,532.9710059483484,538.2207076363915,463800
2025-02-06,542.30712890625,545.0413335810389,537.0077261267024,538.2903555213744,390800
2025-02-07,535.50634765625,543.9873818954384,534.5319960309573,542.3070865446206,328500
2025-02-10,527.9202270507812,538.9764126971914,526.9061269122609,538.9764126971914,443700
2025-02-11,525.9615478515625,530.3263472836669,520.3439758549284,524.0326883299787,623100
2025-02-12,514.1696166992188,523.9530627889649,479.94730821483,498.5498314433664,1329000
2025-02-13,528.6061401367188,529.0535674921509,515.3427985311355,519.8666513814544,665100
2025-02-14,524.3507690429688,532.3048175725028,522.4119575769801,532.3048175725028,687800
2025-02-18,530.9228515625,536.6497769088932,526.1106856010042,529.6402829277777,614100
2025-02-19,517.957763671875,527.4329934118488,514.0304396651766,524.301122888467,406200
2025-02-20,503.1333923339844,516.893893855189,497.2275083557385,513.7918195115225,566200
2025-02-21,487.0264587402344,508.29361365717233,484.79933453719593,508.29361365717233,730700
2025-02-24,487.8218688964844,492.0872060812698,483.5266748975666,487.04631994402433,566400
2025-02-25,487.4738464355469,493.0019080905329,481.39892570373,489.6611917160029,790300
2025-02-26,488.3090515136719,495.447803735138,486.6088819104628,488.6272207792698,795300
2025-02-27,479.5694885253906,491.35142949904514,479.3706555087351,486.2409385286106,502800
2025-02-28,480.3649291992188,486.0819020417712,472.3711012852695,483.576357133448,860600
2025-03-03,467.8665466308594,487.98342657716057,466.0639980375148,484.44804860263,611400
2025-03-04,460.01904296875,468.6931896109324,449.2335953757014,464.0423950031476,1103200
2025-03-05,475.6643676757813,476.729971494804,464.3112892827908,466.2433078434911,864300
2025-03-06,473.9514465332031,479.3789994012233,470.4060997668676,473.6526629161832,934900
2025-03-07,458.4953308105469,472.1986823962607,446.6542481933652,471.2227349280028,983200
2025-03-10,466.2034606933594,467.9562273073983,452.90839526106674,453.7150593523038,1356500
2025-03-11,462.498779296875,467.2790133085936,457.0114453238335,462.30955878801245,655400
2025-03-12,462.7477416992188,467.5777880856973,461.1841955837632,464.23160002719374,688700
2025-03-13,463.1460876464844,468.2748872359599,458.7044508594031,459.9990886770232,973100
2025-03-14,475.485107421875,476.8594026203604,463.08633217774127,468.17528782061663,786800
2025-03-17,486.71868896484375,489.6167167827925,473.1447770748033,473.1447770748033,706000
2025-03-18,486.180908203125,490.5329190683464,481.67952072541055,484.44807871423245,602400
2025-03-19,488.1826477050781,491.8474957737466,479.56822151981896,483.9302009718911,528900
2025-03-20,481.7890319824219,491.7379090271075,481.5400608420285,483.6712683919488,464800
2025-03-21,475.0668029785156,479.83709845573696,470.3662267134754,478.1241758237651,857500
2025-03-24,488.6705932617188,490.49304861944086,477.8951151147934,481.7193081475094,448900
2025-03-25,486.2904052734375,488.93946177807214,480.0661269426184,486.5393764066702,361100
2025-03-26,480.8827819824219,490.7918457040454,480.06614933325386,486.3999910619421,286800
2025-03-27,482.306884765625,485.2248496516458,472.3978515360668,479.01050927252953,325600
2025-03-28,476.0328369140625,481.6297034811712,471.1530084717925,480.5441929185101,551600
2025-03-31,476.1622924804688,478.6918477882692,466.91051635109295,472.23850485844224,568300
2025-04-01,482.5658264160156,483.37249048904505,467.1793976014456,472.776294432765,483400
2025-04-02,490.4432678222656,494.0284582972425,476.92910712219225,476.92910712219225,340700
2025-04-03,482.9741516113281,484.1592567067092,468.6134824277625,473.5331547417007,561100
2025-04-04,468.7629089355469,481.520188653616,462.4489736170327,478.2935017759682,889700
2025-04-07,457.92767333984375,478.3831215558693,443.0790300060967,455.94584227915794,936100
2025-04-08,450.6477661132813,471.3521858020728,441.06736078296245,471.3521858020728,636200
2025-04-09,479.6479187011719,485.8921043835375,440.1312239187381,444.8218320113094,757800
2025-04-10,473.3140563964844,478.5424504746345,460.8953743894656,471.05340932666576,439600
2025-04-11,489.6664733886719,495.831001141322,471.0235135276653,476.490909943408,627100
2025-04-14,500.8602294921875,503.240408250144,486.6987494084734,492.5246803376443,522500
2025-04-15,496.9961853027344,505.8496137680844,495.671672189643,502.42376839661785,326500
2025-04-16,489.049072265625,496.5879262044463,483.153421886957,492.3653547091347,316200
2025-04-17,492.20599365234375,496.6376922671973,486.260561390684,487.80420075171634,251500
2025-04-21,483.0737609863281,489.2581959804555,476.8892956002139,489.1187879371802,433900
2025-04-22,488.9793395996094,492.6242808900989,482.9741566650125,492.6242808900989,701500
2025-04-23,496.28912353515625,505.13258356779386,493.86913127259936,498.0418901411164,324900
2025-04-24,507.15423583984375,508.9766912971919,493.7795128691603,495.6915942940515,324100
2025-04-25,502.364013671875,507.40318715217467,500.5514964649095,504.8138811982219,327900
2025-04-28,500.8303527832031,503.8877257597317,495.0143904414728,501.92583190743,359900
2025-04-29,502.78228759765625,506.7060753766602,493.9388578256333,501.4976183381447,491600
2025-04-30,521.8236083984375,523.8253462279558,488.29218996299727,494.0185265791535,943500
2025-05-01,520.7281494140625,533.913651916786,520.7082122710037,525.8171051798284,489600
2025-05-02,533.5949096679688,537.5386342198983,525.5581143576071,527.948261501316,386400
2025-05-05,539.9586791992188,543.8027792061775,531.4936600130906,533.5949619523171,465900
2025-05-06,532.7982177734375,540.3570080191315,528.6752412757862,531.3840787756806,323200
2025-05-07,532.260498046875,541.4624619018035,531.005673742299,535.2779967366669,363900
2025-05-08,539.3312377929688,544.479943928712,534.5012220092673,536.8215892606204,356800
2025-05-09,539.6199951171875,541.7113890496041,535.0887327729012,539.9088405255883,320100
2025-05-12,550.7838745117188,554.1200632451063,545.8243891942506,553.9707170417405,413900
2025-05-13,541.6516723632812,554.7276416059055,540.2175961537758,553.8113840387422,369700
2025-05-14,538.79345703125,542.3188663142923,533.9435043304458,542.3188663142923,419400
