,Close,High,Low,Open,Volume
2025-01-10,96.79832458496094,98.56961880199084,96.47715401739504,98.29711314171274,969100
2025-01-13,97.63531494140624,97.7618333108001,95.78615975866444,95.97107750450544,1092500
2025-01-14,98.9102554321289,99.2119645058067,97.53799260104412,97.7423718556643,1240300
2025-01-15,103.28009796142578,103.64992601026027,101.15843720711769,101.28495557048208,1627300
2025-01-16,103.64019012451172,103.85430383282886,102.41391467269536,102.8810651042762,890700
2025-01-17,104.01002502441406,104.55503633335042,102.97838692864173,103.99055609182508,913600
2025-01-21,104.86647033691406,105.10978001286978,104.04895338980944,104.55503424869964,998900
2025-01-22,104.51611328125,104.8664798403958,103.63046984162555,104.39932195312714,1765000
2025-01-23,106.60857391357422,108.3214761982206,103.18276934428144,103.54287035603544,2482000
2025-01-24,107.95164489746094,108.70104292452928,105.1487198529338,106.2679459474396,1437800
2025-01-27,108.49665832519533,108.54531580720672,107.1827800821072,108.22414523999754,1135600
2025-01-28,109.40177154541016,110.09277016747596,108.05869731711624,108.2046846147859,1241600
2025-01-29,109.58668518066406,110.86163303205416,109.09033132363092,109.25578755945706,1211600
2025-01-30,109.72293853759766,111.153600739528,109.19738870269124,110.41393718389423,957100
2025-01-31,109.28498077392578,110.26795399629314,109.11953196750208,109.72293524392325,1057400
2025-02-03,107.85432434082033,108.759436728726,105.97597314549871,107.03680730669792,1213700
2025-02-04,108.39932250976562,108.90541078617936,107.727792863494,107.727792863494,979700
2025-02-05,110.1900863647461,110.54045288937344,108.22414004042363,108.9054115828532,1202700
2025-02-06,110.75457763671876,110.98815286802538,109.69374349101044,110.94922242527048,842200
2025-02-07,110.47232818603516,111.60128122989798,110.26794894771228,110.78376427660648,823000
2025-02-10,108.02950286865234,110.53072619662036,107.90298450233672,110.48206128830222,947200
2025-02-11,107.46501922607422,108.14629079500662,106.60857181323546,107.93217708549136,1809200
2025-02-12,107.1535873413086,107.23144822514318,105.6937291829114,106.49178467915964,1211500
2025-02-13,108.51612091064452,108.5647858183616,107.15358517201348,107.2411805208597,702300
2025-02-14,107.80565643310548,109.59641965007908,107.47475881189077,108.68157282047176,1440500
2025-02-18,110.76429748535156,111.16332892875867,108.1949478321665,108.1949478321665,1434000
2025-02-19,110.7059097290039,110.9394849539852,109.23631711200052,109.78133587058694,1193600
