,Close,High,Low,Open,Volume
2025-01-10,152.9501190185547,157.60296751448018,152.37593552929388,157.60296751448018,13593900
2025-01-13,152.37594604492188,152.6036345648476,150.89099333061307,152.1977589699505,8828500
2025-01-14,154.74197387695312,155.67254668422245,152.8016440754185,154.85087101622338,7410200
2025-01-15,156.72189331054688,157.55346313227858,155.68242348052286,157.07828253496317,10701200
2025-01-16,157.93955993652344,159.8799047459006,156.8209058594168,158.54344129552004,9210600
2025-01-17,159.41461181640625,161.5232493630412,158.92952185756127,160.1471938776931,11618300
2025-01-21,170.8388671875,171.63082988387887,161.11736950053177,162.2261293600383,30232000
2025-01-22,182.3719787597656,190.06403741111083,178.75860016378223,189.5888417058508,48028500
2025-01-23,184.5994110107422,184.6984138942388,179.67926679420103,179.81786176766474,17314600
2025-01-24,181.7582092285156,187.2030355766869,180.04555297379105,186.7476434537779,12147200
2025-01-27,156.69219970703125,170.78935539171997,151.1285820418404,167.2056594532017,42201600
2025-01-28,162.35482788085938,164.16647198026513,155.17755652637018,161.3549651716035,20319300
2025-01-29,160.3946990966797,162.3845303249753,158.40485276266372,162.3845303249753,9866600
2025-01-30,168.67083740234375,169.76970303856606,162.45383644781123,163.12700777522355,14981700
2025-01-31,168.35403442382812,171.26454412236032,167.43337100385813,168.70052942821337,8704600
2025-02-03,166.90869140625,168.1956383428669,161.56285256247747,161.56285256247747,8250600
2025-02-04,166.205810546875,168.69062603912278,164.6812657062713,168.69062603912278,6777000
2025-02-05,169.93798828125,170.16567679585708,166.82948794280458,167.2947743242102,7866700
2025-02-06,170.62107849121094,173.88796248485573,169.8489042629981,171.26455197948144,7036900
2025-02-07,172.70989990234375,175.61050016758813,171.4427264076528,173.2444762109925,9991300
2025-02-10,177.1251678466797,178.184441426151,173.16529372060398,174.23446154733094,7625900
2025-02-11,175.41250610351562,177.32313789625556,174.6799240373847,175.83818527178522,6528800
2025-02-12,170.4923858642578,173.135600095184,168.9975387832706,173.135600095184,7454800
2025-02-13,172.11590576171875,172.6306935567284,170.37356682454933,171.2645323377762,6421700
2025-02-14,172.41290283203125,173.27417051950215,171.07643942910397,172.5019963640346,7260900
2025-02-18,177.996337890625,180.4118634281272,174.32354813862543,174.97693096874724,11430500
2025-02-19,179.69908142089844,179.85746489620678,173.93745765817974,176.78857169381126,8688500
2025-02-20,174.2344512939453,178.46162090437164,172.6801935401798,178.0062287601547,8737000
