,Close,High,Low,Open,Volume
2025-01-10,222.4285583496093,224.3304877693832,220.4680954315925,221.2386302238721,1102900
2025-01-13,224.64260864257807,224.77915704088863,219.99993333470127,219.99993333470127,867800
2025-01-14,226.9151611328125,227.70520709798816,224.9449649387485,225.82277394539807,756300
2025-01-15,229.40231323242188,232.38688180187404,227.48087257356232,229.48034301705155,656600
2025-01-16,229.51934814453125,232.0747601482808,228.0758195610872,232.0747601482808,895300
2025-01-17,232.0064849853516,232.2015668790752,228.9731460829209,230.3874153991221,1768100
2025-01-21,236.16148376464844,236.69791432104643,232.7477590031249,233.4500121446796,657300
2025-01-22,233.8889312744141,236.00543897309203,233.2647078742632,235.36170440593844,574100
2025-01-23,233.3427276611328,234.4936334597653,232.2600886200952,234.3765962280832,826600
2025-01-24,234.3473358154297,234.88378126254275,231.3920266681129,233.3329635367688,546200
2025-01-27,233.81089782714844,235.9956871347884,233.0501260352128,234.61067706981888,594700
2025-01-28,232.5331878662109,233.7621234598017,230.89459219209724,231.9284607699424,944800
2025-01-29,209.81727600097656,226.768862855601,207.1058043367997,214.67452945636592,2497100
2025-01-30,208.958984375,210.6658468342988,207.2618700577112,208.763902473524,1091900
2025-01-31,207.4179229736328,210.65607705358155,206.26700229900567,207.6617604599981,1241300
2025-02-03,206.0719451904297,207.53497017893577,203.08737659510288,205.19413615039,1075400
2025-02-04,205.44772338867188,207.3789122213765,203.8969204606312,207.3789122213765,963900
2025-02-05,205.1648712158203,207.77880197993647,204.4138475751681,205.896383690016,959400
2025-02-06,207.0863037109375,208.82242539094327,204.72594379009843,206.9204811265544,954000
2025-02-07,205.0380706787109,207.9250982386505,203.93592045663885,207.9250982386505,663700
2025-02-10,204.25778198242188,205.14535399676404,201.8486664478697,204.8332348733061,726700
2025-02-11,203.1166229248047,204.4333512833832,202.04373204872897,203.09711175906,714700
2025-02-12,199.6443786621093,200.844054903512,196.71832888516545,200.03451267930507,952900
2025-02-13,206.9204864501953,207.066797872652,201.2146981582068,203.68233234718508,1526700
2025-02-14,207.26187133789065,208.6273553607,206.28652135512408,207.2033527201501,806300
2025-02-18,206.91075134277344,207.85684204682047,205.7110749928831,207.1741000136577,842600
2025-02-19,207.07655334472656,208.1884517345249,205.38920203447552,205.38920203447552,497100
2025-02-20,204.5113525390625,207.2033276912258,201.4780287464192,206.75466020497933,636200
2025-02-21,202.7947540283203,205.525736786883,201.4000107833164,204.34555683270693,1411500
2025-02-24,204.5699157714844,206.1889854718518,203.21417985742164,203.9359293375071,660900
2025-02-25,207.3984222412109,207.827578620029,203.87740816565704,205.1843735864867,766300
2025-02-26,207.5057067871093,210.1879192132648,206.04268182738824,206.42306772160936,730400
2025-02-27,205.5550231933593,208.7249108582629,205.21364472253623,208.09093927834647,566200
