,Close,High,Low,Open,Volume
2025-01-10,204.1964111328125,208.27557586490124,203.5810524749956,204.901075773578,343800
2025-01-13,205.81414794921875,206.26078382296,202.7473351102168,204.3353367529932,420300
2025-01-14,206.01266479492188,206.46920505651912,203.8787865862098,206.46920505651912,509100
2025-01-15,205.1094970703125,207.5609666298012,204.23609459409747,207.5609666298012,468800
2025-01-16,208.5732879638672,208.7618648616842,204.2162257061858,205.1194018250431,428400
2025-01-17,208.0472717285156,209.40700327894496,206.7570374001715,209.0893968850528,693900
2025-01-21,215.4413909912109,216.55298309425925,211.04462018307063,211.04462018307063,654000
2025-01-22,216.94004821777344,218.04172075832705,213.10900827123,213.2380377584184,718000
2025-01-23,215.5704040527344,217.9524065877337,212.3646421104811,216.68201129345664,393200
2025-01-24,215.3818206787109,216.2453035759528,213.66480469329275,214.62752822798703,297300
2025-01-27,220.15573120117188,220.2351176483902,215.7093329416914,216.2452898983981,485200
2025-01-28,219.4014434814453,221.83305875741576,218.6967789024893,219.4014434814453,359700
2025-01-29,218.62730407714844,220.56267078368268,217.30728085056177,220.1359042138628,332500
2025-01-30,220.03665161132807,222.50797537655825,218.9250594651879,220.17560062959564,310900
2025-01-31,218.9945068359375,223.11337940998388,217.29734506046887,218.14095861589584,565600
2025-02-03,216.70184326171875,217.97223851452955,214.21068064684724,216.7415516320412,523000
2025-02-04,217.7538909912109,218.2402200965521,212.6127624960592,214.9550566161226,538200
2025-02-05,219.1731719970703,220.0664134743828,216.7316220711465,219.2327194096503,888100
2025-02-06,223.7485809326172,225.67402800753584,215.352047591556,219.7984461450424,1332400
2025-02-07,221.55514526367188,224.7807611570924,219.13344967752272,224.03638825861069,682900
2025-02-10,222.6270446777344,223.16300164695184,220.0366263779977,222.5278040442424,437500
2025-02-11,221.6841735839844,221.87275047370045,219.8579823839117,221.6047719912457,302700
2025-02-12,217.4660797119141,219.87784083399333,216.642305151874,219.1036941668341,341000
2025-02-13,217.5851593017578,218.6074302174242,214.8955003410725,217.57523978159887,443500
2025-02-14,217.69435119628903,220.1359011846864,217.26758463234168,218.8357321624006,322500
2025-02-18,218.011947631836,218.6372105956501,213.19832995439927,215.3719013356685,379700
2025-02-19,219.72897338867188,220.61229536682416,216.04680179668247,217.07900745421503,258500
2025-02-20,219.69911193847656,220.2364524039241,218.4950988209559,219.5498591332957,249600
2025-02-21,219.47024536132807,219.91801894554905,217.17166113671607,218.7239509931607,412200
2025-02-24,222.5748291015625,223.60969914684927,217.8682034525081,219.10208229622768,394800
2025-02-25,222.6842803955078,224.6743986945936,221.2215574144056,222.25641224923524,666800
2025-02-26,221.9479522705078,225.2515408398632,220.68422286548247,222.33602474185915,298800
2025-02-27,218.982666015625,221.4006523691996,218.53487726861005,220.1966241632611,278500
2025-02-28,218.1766662597656,221.5797667697026,214.95268429424524,219.90807466660283,881400
2025-03-03,221.6195678710937,223.0524554296814,214.87306826890784,219.03240809215524,547500
2025-03-04,224.69430541992188,228.1073662178306,223.8883099335049,224.7838570998798,905800
2025-03-05,226.3062896728516,228.366069351108,223.84850760106625,223.84850760106625,622800
2025-03-06,231.1024780273437,231.3412976794875,223.9480006054637,224.2763719333875,1476800
2025-03-07,231.590072631836,233.3413712743108,227.21180325055224,228.73424253929065,667400
2025-03-10,230.38604736328125,235.65986397687595,229.07257716024668,231.7293833100056,668600
2025-03-11,226.9331970214844,230.5353064397942,226.0276895122568,230.5353064397942,858900
2025-03-12,223.3410186767578,226.50531460531104,222.2564078691464,226.18688839570177,559600
2025-03-13,221.3509063720703,224.22662672760825,220.7638251136306,223.76890801822728,419200
2025-03-14,225.51025390625,226.5749592725032,220.29613863565908,221.7887273201728,434500
2025-03-17,226.6844177246093,227.9580921949253,224.6644489076209,224.90326856457915,416200
2025-03-18,227.19190979003903,227.83869215670416,225.0226729727453,226.8436330182056,454000
2025-03-19,224.156982421875,227.0924039228749,221.1518994912721,227.0924039228749,450600
2025-03-20,224.35598754882807,225.380897257668,222.29620782228344,224.0674118929037,524600
2025-03-21,219.33094787597656,223.1022307610196,215.49001874203583,223.1022307610196,1348100
2025-03-24,221.9081420898437,222.9927681345664,219.6294632501455,220.3558521996181,439700
2025-03-25,220.6842193603516,223.3708760565269,218.0871143445892,222.6842828065648,551000
2025-03-26,221.9578857421875,222.22655595698487,218.684147905334,219.6792070292088,578200
2025-03-27,223.1221160888672,224.2465378230148,220.7837361216216,222.7937447368577,503600
2025-03-28,221.898178100586,223.18179765195305,220.7439059068098,222.1469428742413,329600
2025-03-31,225.5301513671875,226.61477738532645,219.95782921021947,222.50517821722173,584200
2025-04-01,224.6047515869141,226.54511388439133,220.9528863441241,224.1868285677188,803900
2025-04-02,226.44561767578125,227.02273862042856,222.3658690942279,223.9380643706129,401000
2025-04-03,220.3160552978516,227.8784959081016,219.6991082854331,225.2415951710969,481500
2025-04-04,211.55953979492188,217.69905331456027,209.44005881342937,217.28113026728263,1201100
2025-04-07,211.7087860107422,215.0820360290231,204.0169827883421,208.3056854316852,949400
2025-04-08,207.51959228515625,217.17166316701048,204.8329355713161,216.4253687918661,690800
2025-04-09,221.8385009765625,222.36588113907743,203.8876244654633,203.8876244654633,1012200
2025-04-10,216.0472412109375,220.664315132724,211.29085961328065,220.65437000708965,701000
2025-04-11,219.9976348876953,221.70913792639604,213.19143360359607,216.31591888431288,459300
2025-04-14,222.90318298339844,223.9181475142836,220.2762275731169,221.3309877872107,421500
2025-04-15,219.94786071777344,223.6494818506605,218.88315535709413,223.6494818506605,342200
2025-04-16,218.93292236328125,222.29621202592784,217.87816207469635,220.80362327414207,359400
2025-04-17,221.1320037841797,223.38084731409268,219.0622788072697,219.6593204060817,451300
2025-04-21,217.69903564453125,220.3856922637612,214.8432207949,220.12698235551144,306200
2025-04-22,221.6693420410156,222.37582556969312,219.06227661459027,220.07724124905204,297200
2025-04-23,222.76388549804688,227.8784888860369,222.08725256879725,223.88830718839137,425500
2025-04-24,225.2316436767578,226.22670282234387,222.6643892591381,223.28132107071423,333700
2025-04-25,223.8883056640625,224.793813122097,221.75887971974907,224.4952923445321,368800
2025-04-28,224.14703369140625,226.11726187255084,222.5549480547,224.36594793375565,610400
2025-04-29,222.9330444335937,224.0773715617605,220.78372821718744,222.79373676046188,1183000
2025-04-30,223.6295928955078,225.0823707132069,220.1269805292158,224.23657956821697,1464000
2025-05-01,221.14195251464844,222.70418749575,217.2811181268545,221.83849088785928,1089000
2025-05-02,223.69924926757807,224.5948116293727,220.84343431233296,224.3659370885441,745600
2025-05-05,223.1917724609375,225.10228422472807,220.83347192875712,223.72909772624823,752400
2025-05-06,221.3509063720703,223.868404823859,219.967774751588,221.88824681939312,1171200
2025-05-07,223.908203125,224.9231524758229,219.8383998631349,222.4554101570619,755600
2025-05-08,224.7440490722656,226.9530814903029,222.22655076238115,224.0574558634977,510100
2025-05-09,225.3112335205078,226.05752787464112,223.450477789556,225.2913432697772,511900
2025-05-12,231.94830322265625,232.1174614629195,227.67949079558392,228.8636136608249,706000
2025-05-13,230.00791931152344,231.9582419504896,229.56014572513047,231.93833651589057,570600
2025-05-14,226.3759613037109,230.68456933426845,225.4107526935903,230.356197985974,973600
2025-05-15,245.6602020263672,247.4512963074759,234.80410331146965,239.1127111515268,1153900
2025-05-16,250.346923828125,250.95391050707744,243.88899976715285,245.4213841525063,1623100
2025-05-19,251.3021850585937,251.5409895312225,247.680170450884,249.14290857932423,562300
2025-05-20,249.2324676513672,250.9738211718056,248.1378965080182,249.66033579978685,673500
2025-05-21,245.1129302978516,248.1080529717717,244.80446438055657,247.36175858474263,533400
2025-05-22,242.5954132080078,244.2870106524246,241.3217387663248,244.2870106524246,540900
2025-05-23,241.79937744140625,242.81434204251173,240.90383026498245,241.79937744140625,538500
2025-05-27,244.9835662841797,246.01843633072377,243.6103949449473,244.7348014899871,531700
2025-05-28,243.7894897460937,245.42138613134395,242.80437572966804,244.41638186412808,525900
2025-05-29,243.7894897460937,245.4114410059489,242.4362087058816,242.44615383127663,440900
2025-05-30,243.9984588623047,244.4760829990581,241.1127782407998,242.117797691478,1044300
