,Close,High,Low,Open,Volume
2025-01-10,508.1753234863281,522.5805794008622,506.0086497621136,513.982328352714,5467500
2025-01-13,528.1337890625,534.2433403571602,520.3260679586654,522.1803659799152,6472500
2025-01-14,530.6713256835938,531.4618551387367,523.6541332832248,526.67966124315,3978300
2025-01-15,530.3589477539062,533.1599628771614,521.4874581893112,524.1908410598545,4103900
2025-01-16,498.3180847167969,526.8650975646193,497.742268803449,517.6031374666634,9059900
2025-01-17,497.5080261230469,509.27816396336783,490.7152869378344,493.46751592921737,7495700
2025-01-21,512.3720092773438,512.3817784611779,500.49452834906185,501.69494659677736,5682100
2025-01-22,507.2286071777344,511.8351939155965,503.59804521196014,509.1219820560263,3756100
2025-01-23,517.037109375,518.7059717637237,506.83826099691015,515.1827516450967,4580800
2025-01-24,519.7113037109375,521.7803454303585,511.9035811264973,515.417032462217,3671200
2025-01-27,530.4566040039062,538.6449064426826,527.0016492061889,527.0016492061889,4263000
2025-01-28,529.4415893554688,533.3649885710969,524.9131560418033,529.9588795107662,3162700
2025-01-29,525.1668090820312,530.4175062114556,521.1751450854491,528.7095672454803,2737600
2025-01-30,532.4573974609375,533.9603625828805,522.1414370609151,526.5039733722233,2924700
2025-01-31,529.4513549804688,535.9610262242701,528.3972958790782,530.1833288848422,4120500
2025-02-03,535.0045776367188,540.5968389769887,528.0654796016948,528.9731200580401,4083600
2025-02-04,532.3402099609375,535.6194386115687,528.4949048367922,532.0962186702384,2869900
2025-02-05,526.8357543945312,527.7043776894914,509.3659540786534,517.9739739994325,4621600
2025-02-06,517.3005981445312,526.1428409008064,512.6452844220886,524.961961075421,3926800
2025-02-07,514.3629150390625,519.594073676597,512.7623179793418,516.4807426261206,3349100
2025-02-10,520.5505981445312,521.3215892734275,510.8007144998404,514.9875841186872,3143100
2025-02-11,521.0873413085938,534.3799830366062,515.5731734747583,522.1414004409136,2631900
2025-02-12,514.7240600585938,529.3146918535286,512.8794715709562,526.8747789021097,3859200
2025-02-13,518.4131469726562,521.487460937888,514.4311925910665,518.1399077136267,2835100
2025-02-14,510.9276123046875,520.3847186030576,510.3419973739472,516.2856523606572,3705300
2025-02-18,488.6950378417969,503.5980148856153,485.0546771281993,498.6596336339993,8759300
2025-02-19,498.7572326660156,499.55750144359104,486.1770277357123,489.28058972763296,4380300
2025-02-20,490.3444519042969,496.209982539182,488.2168251193018,493.0478648026472,4144300
2025-02-21,455.209716796875,458.4108815677541,427.9607544035126,428.9855059838852,19864900
2025-02-24,450.4273986816406,456.7516632020962,446.0160471866623,455.4633821320624,6919300
2025-02-25,459.0745239257813,459.4453954740098,439.2526727344916,449.69548269475774,9101000
2025-02-26,452.44769287109375,461.6803151067788,447.1872560543302,453.4822135760772,5108400
2025-02-27,457.2982482910156,463.9738466347329,453.8433231694455,454.9657069682821,4216800
2025-02-28,463.54443359375,464.9107789480028,453.31633712697686,455.7757587646318,6146300
2025-03-03,455.8245544433594,465.7989204097334,454.02878197185214,462.96862716425017,5700200
2025-03-04,463.2028198242188,467.6922656094328,455.2487095633371,458.459643345366,5864100
2025-03-05,464.5399475097656,467.5654159385529,459.68939905626087,459.7479545881668,3637100
2025-03-06,475.9977722167969,476.3881523593999,460.6555973181424,464.5594583123639,4964000
2025-03-07,481.6193237304688,487.9045420809615,471.7522999455181,472.2012356036691,5434100
2025-03-10,470.6809997558594,487.9608054758406,468.2208483609191,482.5014397489936,5108900
2025-03-11,476.3853759765625,477.10085621264864,467.6621703473412,472.9156856794992,4101000
2025-03-12,471.5532836914063,477.91438757615,469.30879346826936,473.5429887694076,3680800
2025-03-13,471.95513916015625,474.4446933087641,465.56466235238486,469.92628010108064,2876600
2025-03-14,478.9435119628906,479.7276388104786,468.7402913023918,471.445476581654,3915900
2025-03-17,489.1075439453125,490.6659568763152,476.29718685329823,477.82619689546624,5152300
2025-03-18,493.7926025390625,495.91951124090633,487.93140724262616,492.2635924694371,3617600
2025-03-19,493.20452880859375,496.2919517374039,490.12688690166647,495.0079757577674,3317600
2025-03-20,501.1435852050781,504.172232131932,493.5083463815001,495.2137736553017,4965400
2025-03-21,506.5833129882813,508.6906295058969,495.0569329369032,501.5160261653485,10244900
2025-03-24,506.2403259277344,507.9555642053211,500.9671886085324,504.8485493328664,3840900
2025-03-25,503.2312927246094,508.6906582198818,501.3690400351751,507.9849889118439,3015100
2025-03-26,507.9065856933594,512.5622325965084,502.662821182469,504.96617712294943,3253800
2025-03-27,505.4757690429688,510.7293440901765,502.760832681049,506.034453807836,2822200
2025-03-28,505.7894287109375,510.63130360253183,504.8191035105759,506.6029584519804,2379100
2025-03-31,513.3462524414062,517.6294421628296,508.2887767823258,508.8670235468622,5238700
2025-04-01,512.7288208007812,517.6784964207452,510.60194209404585,515.2967727419767,2962500
2025-04-02,512.8071899414062,514.5714228552157,506.5342953336877,512.5621559305229,2378900
2025-04-03,529.7047729492188,537.6046677709553,518.7762311611419,519.4623384172891,6457900
2025-04-04,514.6204833984375,540.780320133293,514.4146930895847,529.9008325901024,9919000
2025-04-07,514.2774047851562,518.6880170734977,493.5867169185978,503.2018792256506,7356700
2025-04-08,542.09375,573.3894919039695,536.5853893036797,570.6058787546779,11762300
2025-04-09,567.0087280273438,577.692235336738,543.446277961502,549.0134437736011,12691900
2025-04-10,582.5929565429688,589.9243558652828,568.4789719314278,568.7141950378262,8646000
2025-04-11,587.5621948242188,594.3153473206794,574.8792903500624,577.2217703059817,6121500
2025-04-14,575.3987426757812,583.7985169059876,567.7830654239833,583.1810263275843,4839300
2025-04-15,571.9976806640625,581.0835020722665,570.449048800578,580.4758224466136,3871300
2025-04-16,573.4188232421875,582.9947724303996,571.3801831525036,573.6932900750847,4192100
2025-04-17,445.0896301269531,480.0609120593661,438.218895786471,472.3766479321924,29120200
2025-04-21,416.8812561035156,444.49170199953176,416.3715961218,440.8260027167556,13029900
2025-04-22,418.6945495605469,422.9287448686704,408.834382374364,416.2050252984415,10156900
2025-04-23,419.4590759277344,430.13277340525326,415.3327109387864,418.5867702716581,8345700
2025-04-24,415.8227844238281,421.3605479925112,415.2346967193257,419.0768437988762,7629100
2025-04-25,410.32421875,415.14647193468073,403.8356922077599,415.14647193468073,9263800
2025-04-28,411.6571960449219,415.69535232506513,407.2955780746548,411.412161999657,6614300
2025-04-29,401.1011352539063,413.3724293230941,400.9737127661005,412.82355546130185,9909100
2025-04-30,403.2672119140625,405.0510668502519,393.0345883190306,400.9050802502607,9192800
2025-05-01,392.7209777832031,403.8063161607813,391.9172588952048,403.149641636512,9316800
2025-05-02,391.97607421875,394.01474431189285,385.30131931529314,392.0152581297499,11392900
2025-05-05,396.7689208984375,401.56180113098975,389.6923365489881,391.1919436938183,8157200
2025-05-06,386.6735229492188,396.6807046872991,385.6051781327607,394.7988301141978,7858600
2025-05-07,383.29205322265625,387.6634522224127,378.0385376407258,387.496845821724,8517200
2025-05-08,377.8914794921875,383.1548357268717,377.715062164468,382.2530973106695,7218300
2025-05-09,373.0790100097656,378.87158789200026,371.020718269635,378.00909327141017,8381100
2025-05-12,371.2265625,379.51850585748656,369.3544988858818,373.4318688118812,11004800
2025-05-13,305.1947631835937,335.2065237717209,302.9600542215707,329.0708626246093,59478300
2025-05-14,301.8917541503906,316.525180128247,301.0096076599364,315.0647867927684,40029600
2025-05-15,268.9003601074219,271.1546612993767,243.93629104303344,269.439423028121,121849200
2025-05-16,286.11151123046875,288.6402490191184,263.7938246638112,273.74219935556937,71094300
2025-05-19,309.6152038574219,310.0072523111838,291.34545278059767,298.7160654100118,62524700
2025-05-20,315.1921691894531,318.19141331963004,306.3709438609061,314.545305654042,41487000
2025-05-21,296.9616394042969,303.80297007909013,294.1094398306045,295.02095920356555,45506900
2025-05-22,290.7770080566406,299.5982335059974,286.6898271040973,288.05223072540565,27159600
2025-05-23,289.6988525390625,293.7468196733566,285.8469246016927,290.2183235083919,16873600
2025-05-27,289.1401672363281,293.99185319349044,283.3867727622264,293.5507799568823,20144600
2025-05-28,292.1883544921875,297.7457392656111,287.4543103537285,288.1600095327128,16114200
2025-05-29,292.2471923828125,297.3536930586561,289.1401478030405,290.90438080813425,16221100
2025-05-30,295.91290283203125,299.5688213679239,289.9634693394878,292.05116408386226,16309300
2025-06-02,298.6670837402344,307.3216726363991,294.9915732403027,297.098859944654,19074400
2025-06-03,295.23663330078125,299.64724628952524,294.0506768501064,297.0792941796779,12805700
2025-06-04,294.4132995605469,301.529097533762,294.23688223345425,297.5105333632695,11255600
2025-06-05,289.96343994140625,296.4127517784209,288.26779383898,294.41326589916946,13529000
2025-06-06,297.1968688964844,298.3436412924003,291.2474356016026,291.3258632398324,12589000
2025-06-09,297.1675109863281,301.2938762091427,295.1582436454414,298.98076902473423,12170300
2025-06-10,297.75555419921875,299.0591220512336,294.61910671461374,297.7653352204805,11384100
2025-06-11,304.3910827636719,305.3908108764983,296.22656173046835,296.6676050546351,14711400
2025-06-12,312.17333984375,312.4673687016571,302.3817900275136,305.2143677299494,15957200
2025-06-13,307.3020935058594,311.11483758102776,305.7142776894487,309.62501145293294,13762400
2025-06-16,303.6893310546875,309.2269137055468,300.8563762120225,308.9604091811427,14240100
2025-06-17,304.8836975097656,305.9497758240427,301.5769268176736,303.482040997663,11593900
2025-06-18,303.2352600097656,307.7660174240138,302.2777777158799,303.58071877793554,12205600
2025-06-20,298.1122436523437,305.5944022922722,297.69765095257475,305.5055674545465,16177900
2025-06-23,296.7994079589844,298.5663146016462,291.7059994539774,298.003663808506,12274700
2025-06-24,301.6756591796875,301.8730900263734,295.4668295731443,297.55949412737453,8781400
2025-06-25,298.1221008300781,300.4516581921528,295.9307510789483,300.4516581921528,8722100
2025-06-26,298.7143859863281,302.75159689265377,297.40156420087226,298.66504333506776,6532700
2025-06-27,305.12060546875,306.4433379098259,298.2998125809556,299.0401330653983,15304400
2025-06-30,307.9436950683594,308.3484071951905,302.38635141325693,305.0120248863478,10074100
2025-07-01,321.9308166503906,322.3354986375609,307.06515491131813,307.9436829352748,17865500
2025-07-02,303.5906066894531,318.2588381530323,302.47518572880057,316.6004974566706,18177200
2025-07-03,304.5678405761719,308.2201004127761,304.2519933913119,305.8412002663213,6161100
2025-07-07,299.790283203125,304.62703734111955,297.31269797123696,304.0249245149377,9031200
2025-07-08,303.72882080078125,304.3210530724636,299.8791302925454,300.30360358554015,9613800
2025-07-09,299.0006408691406,299.6817381247198,294.89432630061896,299.27702597838163,12816700
2025-07-10,295.64453125,300.9945638185611,292.7720841177878,299.14870287290086,11355600
