,Close,High,Low,Open,Volume
2025-01-10,219.9613037109375,224.6494238710661,219.50225625225625,223.48717031090203,2711300
2025-01-13,221.47515869140625,221.72910870683268,217.3144470038005,218.5157766278328,2278100
2025-01-14,224.0341186523437,224.2294545102163,222.32490381541007,223.4969338658162,1823400
2025-01-15,225.4796142578125,227.8627503914946,225.0694044992038,227.5697391630112,1892300
2025-01-16,229.4156951904297,229.65010715861408,224.2196899059582,224.9228960041704,2296900
2025-01-17,228.8003692626953,233.68384007776908,226.78838167139213,233.68384007776908,3643700
2025-01-21,231.2128143310547,231.80859839056768,229.51337595713005,230.099383536591,2630500
2025-01-22,230.30450439453125,231.4765344999728,228.70272643968784,231.21282288271777,2757500
2025-01-23,242.2689971923828,243.85123701366464,236.4185936199107,240.901616382323,5226200
2025-01-24,242.9819793701172,244.66189456899227,239.98353595678464,241.71227394261803,4048500
2025-01-27,248.4905242919922,250.854122350772,244.1735379297742,244.78886001437164,4537400
2025-01-28,243.3531188964844,250.3071765013519,243.0112699814441,248.08031502331747,3167200
2025-01-29,243.7340240478516,247.0938542523196,243.2554385571928,243.88052220664008,3026900
2025-01-30,244.09539794921875,245.7655514878527,241.3118285890554,243.56798967043272,2490500
2025-01-31,242.0150451660156,246.1659954457868,241.8880850563197,242.8745408164887,2987200
2025-02-03,237.3562164306641,240.94068217164764,231.5448892206398,236.5846197066334,3962300
2025-02-04,237.82501220703125,239.8077000282491,236.6920434797156,237.0338923743404,2895100
2025-02-05,238.78219604492188,239.5147167016765,237.33669278848072,238.5380224926704,2436900
2025-02-06,237.83477783203125,240.0128164319272,237.11203372722807,239.64166790037785,1574500
2025-02-07,236.4381103515625,238.43055976520608,235.17816661233715,238.30359966591263,2185500
2025-02-10,238.6356964111328,238.80173263726493,235.94978735284045,238.0887500419515,2315000
2025-02-11,241.9564514160156,242.2104014475384,238.176649608802,239.08496806662163,2584800
2025-02-12,242.71826171875,243.4214827102085,237.67853115085785,237.67853115085785,2656900
2025-02-13,245.1209259033203,245.97064502361,241.5852979375294,243.3628734965401,2279800
2025-02-14,243.41172790527344,247.29896661946464,243.29452937116005,245.6288278956661,1696300
2025-02-18,245.31626892089844,245.9120529510845,242.6498980528324,244.1735385488701,1709300
2025-02-19,241.30203247070312,244.42745048714164,238.70402269012632,243.831666513448,2488500
2025-02-20,241.87831115722656,241.9564484811188,239.62214995383272,240.833256119406,1425400
2025-02-21,239.82725524902344,241.96621785535007,236.1744137059804,241.01882332283856,3292500
2025-02-24,236.68228149414065,240.266747029328,236.5748445477162,239.5244648833213,5576700
2025-02-25,240.15933227539065,241.10672682599707,237.11205119073432,237.229249723784,2911600
2025-02-26,239.7588806152344,242.1810928864757,239.07519767704943,240.198390010984,2477000
2025-02-27,239.3584442138672,241.5364680111292,238.08873882911007,239.28030689292527,3012400
2025-02-28,242.26535034179688,242.67781538916583,238.1406848830009,240.5270930110156,3252600
2025-03-03,241.4011383056641,245.22136649001865,239.39773443153567,243.8857589122308,2218000
2025-03-04,237.1880798339844,239.64323960996728,236.5300988122337,239.29951124728728,3037800
2025-03-05,239.24058532714844,240.65475972923133,236.86399250674472,237.48269755393244,3051700
2025-03-06,240.870834350586,241.07705939282545,237.51217736815187,238.9361671290071,2311100
2025-03-07,244.8383636474609,245.84007308321696,240.5663944094284,241.67611649516013,2835800
2025-03-10,243.836654663086,246.7533858306081,241.70557766260904,243.1786736064037,2420700
2025-03-11,233.51515197753903,243.640228347052,233.1714236199181,243.0117080530553,3357900
2025-03-12,233.23036193847656,234.1240287023704,229.82259899303824,232.44470781831305,1927500
2025-03-13,230.0877380371093,233.8195837486984,229.3315596447492,232.89644131116205,2399900
2025-03-14,233.2696533203125,233.47589334721644,230.6966505171798,231.4135530186048,2116800
2025-03-17,233.59371948242188,235.21411892080607,231.73761931377388,233.2008999170881,2139000
2025-03-18,232.8375244140625,235.695333934443,231.30550714110552,234.20259262369524,2184200
2025-03-19,232.15008544921875,233.8588820352127,230.68680483899428,232.7589602738932,2058300
2025-03-20,230.5787811279297,231.708163626722,229.0762245294993,230.0779339234883,2869500
2025-03-21,229.68511962890625,230.0484784923367,227.1906688237117,228.8994654780157,4167700
2025-03-24,230.9814300537109,233.5642629481092,229.68511347680385,232.70987213639523,3291100
2025-03-25,231.56085205078125,232.2974000128796,230.1368623210791,230.9814379170228,1849000
2025-03-26,233.7606811523437,234.4677683961585,231.4626551024992,231.62960417602395,1709900
2025-03-27,231.7376251220703,234.0552965798841,230.4511237804854,234.0552965798841,1913900
2025-03-28,227.9861297607422,232.4545235296104,227.8486414133204,231.3840774686043,1918000
2025-03-31,232.0027770996093,233.8294165212759,226.14966976386003,226.42464645227383,3478100
2025-04-01,232.9161071777344,233.40713915685475,229.64583239858004,230.45113203718867,2367300
2025-04-02,234.18296813964844,234.2320593473922,230.40201606679665,230.92250874377228,2023600
2025-04-03,219.95285034179688,228.8012405839777,219.07881408029448,227.2004866353352,5754800
2025-04-04,209.43495178222656,217.7726800805111,208.7376947720501,216.05406817457697,6784500
2025-04-07,206.2039794921875,212.3615249743894,201.1168801746676,207.3235318539417,5055900
2025-04-08,204.5344696044922,213.82478647698903,200.98921803219085,213.62837667772808,5126200
2025-04-09,219.520751953125,220.66976496808164,202.6783613267781,202.91404708260112,5361000
2025-04-10,215.38626098632807,217.7137476259408,210.3580836460704,217.4093102156242,5088800
2025-04-11,214.6693420410156,216.3192171678737,211.2419486566232,214.8362911040425,2965000
2025-04-14,218.28335571289065,219.2654196509707,215.35679438813528,217.1834339123685,3197700
2025-04-15,216.13262939453125,220.28675558189136,215.65141267890888,218.7940142270904,2807000
2025-04-16,212.71505737304688,216.58437674508303,211.54639887597915,215.7594466242493,3293600
2025-04-17,216.3094024658203,218.25389989617463,213.40250153546543,213.59891133047208,4545800
2025-04-21,212.17491149902344,215.0523515725963,209.53315717421188,214.2470669558182,3379600
2025-04-22,213.00965881347656,214.698809959122,211.1044673911613,214.11939584122555,3353300
2025-04-23,215.83799743652344,220.5519070376468,214.4140078135553,217.3405539677726,3879500
2025-04-24,211.58566284179688,211.9588519165329,202.9238670940269,204.5148058061446,5205100
2025-04-25,209.4644012451172,210.9080363673289,207.7752651346433,210.1616732029286,3454900
2025-04-28,208.796615600586,210.84912564581632,207.0190822606924,209.23854137808385,3053300
2025-04-29,210.69200134277344,211.10448140453127,207.50029338252023,207.50029338252023,2886400
2025-04-30,211.7919006347656,212.106153285116,206.75390811901488,209.6411783330684,3139100
2025-05-01,210.24024963378903,211.63477862746024,208.75733848212823,211.63477862746024,4458500
2025-05-02,214.37472534179688,215.67105690202388,211.96867174785496,212.9311051735166,2926800
2025-05-05,212.64630126953125,214.86576035361853,212.3811398129688,212.91146272609373,1895600
2025-05-06,209.3760223388672,212.3418595389857,209.1796125541474,210.9080396388299,2265100
2025-05-07,210.01437377929688,211.05535912941136,208.8849912883359,209.90634614946768,3277100
2025-05-08,212.9507293701172,214.9934240505029,210.03399843089807,211.05535326364387,3335500
2025-05-09,212.4400787353516,213.81496225757883,211.26159001903503,212.85254379201973,2172900
2025-05-12,226.7290954589844,227.38707649600497,222.45712634069727,222.9874342711699,4965900
2025-05-13,224.1560974121093,227.82902199325943,223.94985738840376,226.8665885294421,3028100
2025-05-14,224.2444763183593,224.65694137468023,219.13774683067857,223.2624123789936,3253000
2025-05-15,226.70947265625,227.29870204507463,223.60614692574345,225.1381643158372,2607600
2025-05-16,227.26922607421875,227.80936421655943,225.9925400064424,227.1808439195919,2006800
2025-05-19,225.38368225097656,225.9434659095493,224.0677201209696,224.9712171797105,2509400
2025-05-20,224.2346649169922,225.76668229104465,223.72398746393915,224.54891759072007,1982900
2025-05-21,219.609130859375,222.8204841008652,219.47164250881207,221.58308894579943,2183600
2025-05-22,218.87257385253903,220.3260391955851,217.9494314005007,219.35379055214148,2848900
2025-05-23,218.126220703125,219.01007224856,216.0638804503016,216.17190808230865,3227900
2025-05-27,220.3260498046875,220.9251094044238,218.74492626998065,219.6484232919408,2613300
2025-05-28,218.1949615478516,221.40631486503395,217.97892126482324,220.9643890838875,3073200
2025-05-29,218.5190277099609,219.5796584945246,215.82818227950085,218.45029103087825,2980600
2025-05-30,219.003173828125,219.90227013284647,217.6594742650356,218.2720380843025,4179600
2025-06-02,216.2663726806641,217.3630687670245,214.78435175725247,216.15769054324468,4587000
2025-06-03,219.1217193603516,219.7046439373489,214.9522995376765,215.2289422208582,6229300
2025-06-04,218.22262573242188,219.50704682033032,216.7307301675741,219.19089021112427,3976800
2025-06-05,218.00526428222656,219.1019603307506,216.7702468886588,218.301671471862,3084600
2025-06-06,220.751953125,221.4732141746232,219.48729645494663,220.2974751432697,2953400
2025-06-09,221.4534454345703,222.56001623070875,220.5741136249468,221.28548487272047,3128500
