,Close,High,Low,Open,Volume
2025-01-10,26.65036964416504,27.02825652360029,26.43308594981849,26.943232155917183,7473100
2025-01-13,27.141620635986328,27.19830474797557,26.6125815373738,26.716500607455924,5434200
2025-01-14,27.368350982666016,27.4250350932146,27.08493763751553,27.17940935319839,6630400
2025-01-15,27.16996383666992,28.03910043624261,27.04242728216816,27.963523418971,8143600
2025-01-16,27.66121482849121,27.670662180709368,27.151068620100016,27.160515972318173,4812900
2025-01-17,27.72734642028809,27.8879478153686,27.571467800695977,27.70845171453784,10796200
2025-01-21,28.587034225463867,28.681505947407413,27.802921996559427,27.802921996559427,11045500
2025-01-22,27.821815490722656,28.45666204699066,27.774578730857176,28.341407235955923,5900700
2025-01-23,27.670663833618164,27.8832229645802,27.45337832341743,27.86905283635561,5318400
2025-01-24,27.96352195739746,28.152463589751942,27.642319200306893,27.670661256014224,6600100
2025-01-27,28.86100006103516,28.951693201851683,28.190254262932417,28.21859631991213,6206300
2025-01-28,28.35085678100586,28.908237977247666,28.341409428301965,28.70984717426244,4145400
2025-01-29,28.001310348510746,28.43587953872163,27.7556845978521,28.4264321865542,4102800
2025-01-30,28.19025421142578,28.45194028450925,27.82181648085369,28.27527858031137,5734700
2025-01-31,28.12412452697754,28.289448687526328,27.935181084723315,28.095782470069945,5285600
2025-02-03,28.14301872253418,28.2185957376892,27.60453046241924,27.878498268542533,5964700
2025-02-04,28.152463912963867,28.2658303351966,27.86527197980454,27.916285518385653,3920200
2025-02-05,28.265830993652344,28.44060250518006,28.15246456877873,28.369750066294973,3581700
2025-02-06,28.46421813964844,28.50200754612272,28.14301719410744,28.435877886690804,3478400
2025-02-07,28.445327758789062,28.549245032005068,28.23276683328185,28.464220661802184,5781200
2025-02-10,28.294172286987305,28.483113920814883,28.16191116122004,28.450049089847603,6164000
2025-02-11,28.34140968322754,28.379199094383026,28.02020689599909,28.19970299519106,6094300
2025-02-12,28.14301872253418,28.2185957376892,27.85960356427924,27.91628587517096,5957200
2025-02-13,28.747636795043945,28.81848923799322,28.1052312216734,28.22804320392445,4549600
2025-02-14,28.69095230102539,29.163309092401587,28.69095230102539,28.92713069671349,4791000
2025-02-18,28.68150520324707,28.84682936093516,28.51145646854036,28.643715794690834,4435800
2025-02-19,28.79486846923828,28.898787535976457,28.426430762654707,28.530349829392883,6814700
2025-02-20,29.05939102172852,29.08773307886978,28.73818824838712,28.77597585601058,4581900
2025-02-21,29.550642013549805,29.67345398853534,29.012153748741326,29.16330958226703,8772100
2025-02-24,30.18360137939453,30.38199037796735,29.238887743756496,29.55064317144112,11643300
2025-02-25,30.816556930541992,30.925200581296863,30.381989535115355,30.381989535115355,7878900
2025-02-26,30.589826583862305,30.882685485838724,30.44811810601828,30.81655582385719,4759300
2025-02-27,30.542593002319336,30.71263813808084,30.306414597799563,30.589827962464,6158900
2025-02-28,30.69374656677246,30.89213555861821,30.481183843683663,30.71263766750372,9669100
2025-03-03,30.844900131225582,31.11886433322903,30.63706198837108,30.693746101094035,6389700
2025-03-04,30.4008846282959,31.109419844423744,30.39143547395484,30.920476399363693,6886900
2025-03-05,30.608720779418945,30.7126362438094,30.20343785500935,30.287518024931103,5401900
2025-03-06,30.20249366760254,30.570933203289066,30.01355202546161,30.45756857838415,12094200
2025-03-07,30.844900131225582,30.95826475287516,30.122193010142304,30.183599897976425,10923700
2025-03-10,30.835453033447266,32.14860443349349,30.77877252074095,30.93937211180429,11500800
2025-03-11,30.56148147583008,31.14720646341512,30.419776607579102,31.024392694560685,12071400
