,Close,High,Low,Open,Volume
2025-01-10,309.4310913085937,311.34943338880333,306.9490670607201,306.9490670607201,594700
2025-01-13,307.7895812988281,310.44959125563787,307.4237114837899,307.9082385169682,459400
2025-01-14,309.7474975585937,310.6473550668788,306.79084444374297,306.8600712160695,441700
2025-01-15,309.85626220703125,313.52488854403146,308.4718777569668,313.52488854403146,588200
2025-01-16,318.5284729003906,318.8350140975796,310.62756818654753,311.2307524205909,486200
2025-01-17,317.0748596191406,320.5259678713075,315.8882573020618,319.9820820708265,375700
2025-01-21,318.89434814453125,320.3776237087407,316.78809201498285,317.24298491567646,510400
2025-01-22,317.0946350097656,319.1217660284644,316.1848794671344,319.1217660284644,450300
2025-01-23,315.4432983398437,318.01431558434746,312.6843970928014,317.2825457196578,327000
2025-01-24,318.7757263183594,319.1811586388661,315.4235388632906,316.1355124202475,303300
2025-01-27,325.766845703125,326.49858526941017,317.7967146881309,320.36773150720046,484000
2025-01-28,322.4344482421875,328.24889326155375,322.36522147354776,325.76686916954003,511200
2025-01-29,320.9215087890625,323.56172238802696,319.63598519662577,320.88194632445806,267600
2025-01-30,326.15252685546875,327.24026837329296,321.37639251549035,321.8807158958726,466400
2025-01-31,325.8954467773437,330.028834374291,324.96592494948965,325.321896622802,498900
2025-02-03,326.9831848144531,328.9608856735358,322.08836311729544,325.7767860833199,700900
2025-02-04,316.7386474609375,323.0376192480472,299.7699721408142,308.5707340610455,1494200
2025-02-05,317.0748596191406,326.201959240162,315.16638568061666,326.201959240162,942700
2025-02-06,323.2651062011719,323.4727563472877,315.9871511526038,319.5074563618754,641900
2025-02-07,322.1575927734375,326.0536659148883,321.3071657042136,323.3936558214277,466300
2025-02-10,321.5543518066406,323.14641657341764,318.0043826467311,323.14641657341764,451400
2025-02-11,315.6707458496094,322.6915600324679,315.13675814709364,322.6915600324679,667900
2025-02-12,315.4037170410156,317.1836658781673,313.3073590087139,315.314724125756,652300
2025-02-13,318.68670654296875,319.1020369900815,315.7300534959357,316.66944327201446,456700
2025-02-14,316.8276672363281,321.38628334608427,316.6200170986273,320.9412885879768,561000
2025-02-18,318.67681884765625,319.27013514416507,316.827673362438,318.22195609717164,470600
2025-02-19,321.9993591308594,323.6803866969005,318.1032861582124,318.8943544037236,541400
2025-02-20,321.109375,321.9993342517677,318.39990460496546,320.44683200815297,388700
2025-02-21,322.3158264160156,322.50371042162817,317.7275456981624,320.3084611462853,759300
2025-02-24,324.54071044921875,327.0820330197342,320.7632947124359,321.1588288334356,614400
2025-02-25,329.1092224121094,329.50475656674126,324.6297309663627,327.0919589929686,702500
2025-02-26,332.58990478515625,334.6862625833589,327.1611263193092,329.07949830686806,700200
2025-02-27,331.5516662597656,335.3389500959228,330.6913712214697,331.7494182376649,736200
2025-02-28,335.8630065917969,336.10035119018943,330.997879895846,332.45149107956775,547600
2025-03-03,336.5650939941406,338.3549409086056,334.7555111136313,336.3080134211554,535400
2025-03-04,330.2167053222656,340.30299148333654,329.6728496726464,336.70356153860354,470100
2025-03-05,330.7704467773437,332.53059921827395,328.2389922595412,328.2389922595412,629100
2025-03-06,326.7458190917969,329.44539145396027,325.2230112563062,329.31683607804985,636800
2025-03-07,327.2007141113281,328.347753986931,323.49252521593,326.7754855165604,463800
2025-03-10,328.2983093261719,332.12515527217545,323.8682489870929,326.8150338322283,508300
2025-03-11,322.8794250488281,330.46392097247576,321.59393158659884,329.8013779196741,578700
2025-03-12,317.5198669433594,324.6692359648614,314.34566563432185,322.56300997860603,782800
2025-03-13,315.54217529296875,319.92277541428143,315.1070786936584,317.55943860092395,467900
2025-03-14,320.9906921386719,321.5840083739883,313.48532173181,317.17374433806344,627400
2025-03-17,324.6692199707031,325.3317629788013,320.28862019199465,320.28862019199465,484600
2025-03-18,331.2352294921875,333.57880018113326,328.7927677248529,328.7927677248529,648200
2025-03-19,330.78033447265625,332.84702804687385,329.06961253312465,330.24634684330994,603200
2025-03-20,330.78033447265625,332.93602095554536,326.57772055837074,330.651779101025,418100
2025-03-21,329.0003967285156,331.45275649933177,325.944852719724,330.4836722770932,892600
2025-03-24,333.4601135253906,334.6170817035124,330.40456958998897,331.0967467229757,597800
2025-03-25,334.1622314453125,336.209159156854,330.8100440506322,334.8742049894434,534400
2025-03-26,334.8148498535156,337.0397632305152,333.24258135504755,335.9025913177348,317100
2025-03-27,337.0793762207031,338.0484304344529,334.389701550259,335.5367717956141,607800
2025-03-28,333.4008178710937,338.72083806506004,333.0349480367754,337.03978024663894,524400
2025-03-31,335.0964050292969,338.8048152589612,331.9729790231448,334.4518693392073,1105600
2025-04-01,334.1543884277344,338.08094190800347,332.9248686104527,336.1275752815764,833300
2025-04-02,334.58074951171875,335.7904490988573,331.92338656944355,332.28033222144063,981800
2025-04-03,329.6031494140625,337.6743999063881,329.246173501784,332.6273832552883,783300
2025-04-04,306.1925048828125,328.3438943012969,303.525216611327,325.1808279906489,1656300
2025-04-07,298.4682922363281,306.51972241129585,292.47928530297287,305.5380916183045,1197500
2025-04-08,299.5093994140625,311.77494214811827,295.53325021769666,306.3511296815596,1257400
2025-04-09,312.1517944335937,313.34167393765017,292.231434674785,292.231434674785,1048800
2025-04-10,313.96630859375,317.3871586621037,305.52815729067925,312.34014221745895,694000
2025-04-11,319.0232238769531,320.1238667932094,309.4547143453691,310.84288672002214,605400
2025-04-14,325.2502136230469,327.76877453247295,320.04454421657107,320.04454421657107,633600
2025-04-15,324.3974914550781,326.8763816603592,323.48524654518303,326.1327145987748,553600
